name,smiles,linker_design,motif_extension,scaffold_decoration,superstructure_generation
BARICITINIB,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,[11*]C1(CC#N)CN(S(=O)(=O)CC)C1.[13*]c1ncnc2[nH]ccc12,[11*]C1(CC#N)CN(S(=O)(=O)CC)C1,[1*]N1CC([2*])(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,c1nc(-c2cnn(C3CNC3)c2)c2cc[nH]c2n1
CYCLOTHIAZIDE,NS(=O)(=O)c1cc2c(cc1Cl)NC(C1CC3C=CC1C3)NS2(=O)=O,[13*]C1Nc2cc(Cl)c(S(N)(=O)=O)cc2S(=O)(=O)N1.[12*]C1CC2C=CC1C2,[13*]C1Nc2cc(Cl)c(S(N)(=O)=O)cc2S(=O)(=O)N1,[1*]c1cc2c(cc1[2*])NC(C1CC3C=CC1C3)NS2(=O)=O,O=S1(=O)NC(C2CC3C=CC2C3)Nc2ccccc21
ELIGLUSTAT,CCCCCCCC(=O)N[C@H](CN1CCCC1)[C@H](O)c1ccc2c(c1)OCCO2,[11*]N1CCCC1.[17*]c1ccc2c(c1)OCCO2,[17*]c1ccc2c(c1)OCCO2,[1*][C@H](CN1CCCC1)[C@H]([2*])c1ccc2c(c1)OCCO2,c1cc2c(cc1CCCN1CCCC1)OCCO2
ERLOTINIB,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,[2*]C#C.[14*]OCCOC,[14*]OCCOC,[1*]c1cccc(Nc2ncnc3cc([2*])c([3*])cc23)c1,c1ccc(Nc2ncnc3ccccc23)cc1
FUTIBATINIB,C=CC(=O)N1CC[C@H](n2nc(C#Cc3cc(OC)cc(OC)c3)c3c(N)ncnc32)C1,[8*][C@H]1CCN(C(=O)C=C)C1.[12*]c1cc(OC)cc(OC)c1,[8*][C@H]1CCN(C(=O)C=C)C1,[1*]N1CC[C@H](n2nc(C#Cc3cc([2*])cc([3*])c3)c3c([4*])ncnc32)C1,C(#Cc1nn([C@H]2CCNC2)c2ncncc12)c1ccccc1
LESINURAD,O=C(O)CSc1nnc(Br)n1-c1ccc(C2CC2)c2ccccc12,[11*]n1c(Br)nnc1SCC(=O)O.[14*]C1CC1,[11*]n1c(Br)nnc1SCC(=O)O,[1*]c1nnc([2*])n1-c1ccc(C2CC2)c2ccccc12,c1ccc2c(-n3cnnc3)ccc(C3CC3)c2c1
LIOTHYRONINE,N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,[3*]C[C@H](N)C(=O)O.[8*]c1ccc(O)c(I)c1,[3*]C[C@H](N)C(=O)O,[1*]c1cc([2*])c(Oc2ccc([3*])c([4*])c2)c([5*])c1,c1ccc(Oc2ccccc2)cc1
LOVASTATIN,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,[18*][C@@H]1[C@@H]2C(=C[C@H](C)C[C@@H]2OC(=O)[C@@H](C)CC)C=C[C@@H]1C.[19*][C@@H]1C[C@@H](O)CC(=O)O1,[18*][C@@H]1[C@@H]2C(=C[C@H](C)C[C@@H]2OC(=O)[C@@H](C)CC)C=C[C@@H]1C,[1*][C@H]1C[C@@H]([2*])C=C2C=C[C@H]([3*])[C@H](CC[C@@H]3C[C@@H]([4*])CC(=O)O3)[C@H]21,O=C1CCC[C@@H](CC[C@H]2CC=CC3=CCCC[C@@H]32)O1
MARIBAVIR,CC(C)Nc1nc2cc(Cl)c(Cl)cc2n1[C@H]1O[C@@H](CO)[C@H](O)[C@@H]1O,[15*]n1c(NC(C)C)nc2cc(Cl)c(Cl)cc21.[14*][C@H]1O[C@@H](CO)[C@H](O)[C@@H]1O,[14*][C@H]1O[C@@H](CO)[C@H](O)[C@@H]1O,[1*]c1nc2cc([2*])c([3*])cc2n1[C@H]1O[C@@H]([4*])[C@H]([5*])[C@@H]1[6*],c1ccc2c(c1)ncn2[C@@H]1CCCO1
SPIRAPRIL,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2,[7*]c1ccccc1.[17*]N1CC2(C[C@H]1C(=O)O)SCCS2,[17*]N1CC2(C[C@H]1C(=O)O)SCCS2,[1*][C@H](CCc1ccccc1)N[C@@H]([2*])C(=O)N1CC2(C[C@H]1[3*])SCCS2,O=C(CNCCCc1ccccc1)N1CCC2(C1)SCCS2
