smiles,mol_wt
O=C1NCCN1c1cccc(Oc2ccccc2)c1,254.28900000000002
Cc1cccc(NC(=O)C(=O)Nc2cccc(C[NH+]3CC[NH+](Cc4ccc(F)cc4)CC3)c2)c1,462.5690000000003
CCOC(=O)c1ccc(C(=O)CNC(=O)CCOc2cccc(C(F)(F)F)c2)cc1,423.387
CC(C)(C)OC(=O)N1CCN(C(=O)C[NH+]2CCN(C(=O)C[NH+]3CCc4sccc4C3)CC2)CC1,493.6740000000004
COc1ccc(-n2nc(C(=O)Nc3cc(C)n(-c4nc5ccccc5n4C)n3)cc2C(N)=O)cc1,470.4930000000002
Cc1ccccc1NC(=O)CNC(=O)C(=O)N1CC[NH+]([C@@H](C)c2ccc(N(C)C)cc2)CC1,452.57900000000024
CCNS(=O)(=O)c1ccc(C(=O)N(C)CC2CCN(S(=O)(=O)c3ccccc3)CC2)cc1,479.62400000000025
COc1ccc(C(=O)N2CCN(C(=O)C(=O)N(C)Cc3cccc(C(F)(F)F)c3)CC2)cc1,463.45600000000013
CCc1ccc(C2(NC(=O)C(=O)N[C@H]3CCN(C(=O)OC(C)(C)C)C3)CCC2)cc1,415.5340000000003
Cc1ccc(NC(=O)CNC(=O)C(=O)NCC2CC[NH+](CCc3ccccc3)CC2)cc1,437.56400000000025
CC(C)(C)OC(=O)N1CCC(NC(=O)C[NH+]2CCN(C(=O)OC(C)(C)C)CC2)CC1,427.5660000000003
Cc1cccc(NC(=O)N[C@H]2CCCC[C@H]2C)c1,246.35399999999996
CC(C)(C)OC(=O)N1CCC[C@H](NC(=O)N2CC(NC(=O)c3ccccc3)C2)C1,402.4950000000001
CC(C)C(=O)N1CCCN(C(=O)[C@H](c2ccccc2)[NH+]2CCN(C(=O)OC(C)(C)C)CC2)CC1,473.63800000000043
CC(C)(C)OC(=O)NCCC(=O)NCc1cccc(Cn2ccc(C(F)(F)F)n2)c1,426.4390000000001
Cc1nc(C2CCN(C(=O)C(=O)N[C@@H]3CCN(C(=O)OC(C)(C)C)C(C)(C)C3)CC2)no1,449.55200000000036
CC(C)(C)OC(=O)N1CCN(C(=O)NC2(O)CCN(C(=O)OC(C)(C)C)CC2)CC1,428.5300000000003
O=C1C[NH+]2CCC[C@H]2C[NH2+]1,142.202
CCOC(=O)c1ccccc1N1CCN(C(=O)N2CC[NH+](Cc3ccc(F)c(F)c3)CC2)CC1,473.5440000000003
O=C(CCS(=O)(=O)Cc1ccncc1F)NC1CCN(C(=O)c2ccc(C(F)(F)F)nc2)CC1,502.4900000000003
Cc1ccc(N2CCN(C(=O)CNC(=O)c3cccc(N4CCC(C(F)(F)F)CC4)c3)CC2)cc1,488.5540000000003
CC(C)(C)OC(=O)c1csc(N2CCC(NC(N)=O)CC2)n1,326.4220000000001
CC(C)(C)OC(=O)N1CCC(C(=O)N2CCCCC2)CC1,296.41100000000006
C[C@H](Cc1ccccc1)NC(=O)C(=O)Nc1ccc(F)cc1N1CCN(c2ccc(F)cc2)CC1,478.54300000000023
C[NH+]1CCN(c2ccc(NC(=O)C(=O)N[C@@H]3CCCN(c4ccc(-c5ccccc5)cc4)C3)cc2)CC1,498.65100000000024
CCc1cccc(CNC(=O)C(=O)N2CC[C@@]3(CCCN(C(=O)OC(C)(C)C)C3)C2)c1,429.56100000000026
CCc1ccc(CNC(=O)C(=O)NC)cc1,220.272
O=C1NCC2CCN(CC2)C(=O)OC(=O)N2CC[C@@H]1C2,281.312
CC(C)(C)OC(=O)N1CCN(C(=O)NC2CCN(S(=O)(=O)c3cccc(F)c3F)CC2)CC1,488.55700000000024
Cc1cc(CNC(=O)CNC(=O)C[NH+]2CC(c3ccc(C(F)(F)F)cc3)C2)n(C)n1,424.4470000000001
CCCn1cc(NC(=O)c2ccc([NH+]3CC(NC(=O)OC(C)(C)C)C3)cc2)cn1,400.5030000000002
COc1cc(C(=O)OC(C)(C)C)c(F)cc1F,244.23699999999997
CC(C)(C)c1ccc(NC(=O)C(=O)Nc2ccc(NC(=O)CCc3ccccc3)cc2)cc1,443.54700000000014
Cc1noc(-c2ccc(NC(=O)NC3CCN(C(=O)c4cccc(C(F)(F)F)c4)CC3)cc2)n1,473.45500000000015
O=C1Nc2ccc(cc2)[C@H]2CCCN(C2)C1=O,230.2669999999999
Cc1ccc(C[NH+]2CCC(NC(=O)C(=O)C3CC[NH+](Cc4ccc(F)cc4)CC3)CC2)cc1,453.60200000000026
O=C(NCC(=O)N1CCCCC[C@@H]1c1ccccc1)C(=O)N1CCN(C(=O)c2ccccc2)CC1,476.57700000000034
COc1cccc(-n2ccc(CNC(=O)C(=O)NCc3cccc(C(F)(F)F)c3)n2)c1,432.4020000000001
CC(C)(C)OC(=O)CCC(=O)N1CCN(C(=O)CC(=O)Nc2ccc(C(F)(F)F)cc2)CC1,471.4760000000001
CC(C)(C)OC(=O)Nc1ccc(OCCNS(=O)(=O)c2ccc3c(c2)OCCO3)cc1,450.51300000000026
CC(C)(C)n1ccc(C(=O)N2CCC(CNS(=O)(=O)c3ccccc3C(F)(F)F)CC2)n1,472.5330000000002
CC(C)(C)OC(=O)N(c1cccc(C(=O)N2CCOCC2)c1)C1CCN(S(C)(=O)=O)CC1,467.58800000000036
CC(C)CCC(=O)Nc1ccc(NC(=O)CNC(=O)c2cnn(-c3ccccc3)c2)c(F)c1,451.5020000000001
CNC(=O)C(=O)N1CCCN(C(=O)OC(C)(C)C)CC1,285.34400000000005
O=C1NC2CC[NH+](CC2)C2CCN1CC2,210.301
Cc1cc(C)cc(N2CC[C@@H](NC(=O)C(=O)N3CCC(NC(=O)c4ccccc4)CC3)CC2=O)c1,476.5770000000003
CC[C@@H](CS(=O)(=O)c1ccccc1)NC(=O)C(=O)NC1CCN(C(=O)OC(C)(C)C)CC1,467.58800000000036
CCc1ccc(NC(=O)C(=O)NCc2ccccc2)cc1,282.343
COc1cccc(N2CCN(C(=O)C(=O)N3CCN(c4cccc(Oc5ccccc5)c4)CC3)CC2)c1,500.5990000000003
CCNC(=O)N[C@@H]1CCN(c2ccccc2-c2ccc(C)cc2)C1,323.4400000000001
Cc1cc(N2CCN(C(=O)OC(C)(C)C)CC2)ccc1N1CCC(NC(=O)C(C)(C)C)CC1,458.64700000000033
CC(C)(C)C(=O)NCCNC(=O)NC1CCN(c2ccccc2C(F)(F)F)CC1,414.4720000000001
CC(C)(C)OC(=O)N1CCC(NC(=O)C(N)=O)CC1,271.317
Cc1cc(C)cc(CNC(=O)NC[C@@H](O)C[NH+]2CCN(c3cccc(C(F)(F)F)c3)CC2)c1,465.5400000000002
Cc1ccc(N2CCN(C(=O)C(=O)N3CCC(OCc4ccc(C(F)(F)F)cc4)CC3)CC2)cc1,489.5380000000003
Cc1cccc(C(=O)N2CCC(NC(=O)[C@@H](C)[NH+]3CCN(C(=O)OC(C)(C)C)CC3)CC2)c1,459.61100000000044
CNC(=O)[C@@H]1CCCN(C(=O)OC(C)(C)C)C1,242.31899999999996
CCOC(=O)c1ccc(N2CCN(C(=O)N3CCNCC3)CC2)cc1,346.4310000000001
CC(C)(C)OC(=O)N1CCN(C(=O)NCC(=O)Nc2cccc(C(C)(C)C)c2)CC1,418.5380000000002
CC(C)(C)OC(=O)N1CCC2(CCN(C(=O)NCc3cccc(C(F)(F)F)c3)CC2)CC1,455.5210000000002
CC(C)CNS(=O)(=O)c1ccc(Oc2ccc(NC(=O)c3ccc(F)cc3)cc2)c(F)c1,460.50200000000007
CC(C)(C)ON1CCN(C(=O)NC[C@@H]2CCCN2C=O)CC1,312.41400000000004
CC(C)(C)OC(=O)N1CCN(C(=O)C(F)(F)[C@H]2CCCN(C(=O)OC(C)(C)C)C2)CC1,447.52300000000037
CC(C)c1ccc(N2CCN(C(=O)C(=O)N[C@@H]3CCCN(C(=O)OC(C)(C)C)C3)CC2)cc1,458.60300000000035
NS(=O)(=O)c1ccccc1C(F)(F)F,225.19099999999995
CC(C)(C)OC(=O)OC(=O)N1CCC[C@@H](C(=O)N2CCC[C@@H]2CN)C1,355.4350000000002
COc1ccc(N(C(=O)C(=O)N2CCN(C(=O)OC(C)(C)C)CC2)c2ccc(C)cc2)cc1,453.5390000000002
O=C(Nc1ccc(OC(F)(F)F)cc1)C(=O)N1CCN(C(=O)S(=O)(=O)c2ccccc2)CC1,485.4400000000003
Cc1cc(NC(=O)C(=O)Nc2ccc(OC(F)(F)F)cc2)ccc1N1C[C@@H](C(N)=O)CC1=O,464.40000000000026
Cc1ccc(NC(=O)OC(C)(C)C)cc1C(=O)N1CCN(C(=O)OC(C)(C)C)CC1,419.52200000000033
O=C1NC2CC[NH+](CCC[C@@H]3CCCN3C1=O)CC2,266.365
