smiles,mol_wt
C[C@@H](C[NH+]1CCCCCC1)NC(=O)c1ccc(F)cc1F,297.369
CC(C)C(=O)NCCC1CCN(C(=O)CCC2CC2)CC1,294.439
CCOC(=O)N1CCN(C(=O)N[C@H]2CC[NH+](Cc3ccc(F)cc3)C2)CC1,379.45600000000013
COc1ccc(C(=O)N2CCN(c3ccc(Cl)cc3)C2=O)cc1,330.771
Cc1cccc(NC(=O)NCCC[NH+]2CCCCC2)c1,276.40399999999994
CC(C)C[C@@H](C[NH+]1CCOCC1)NC(=O)c1ccccc1,291.41499999999996
CC(C)(C)OC(=O)N1CCC([NH+]2CC[NH+](CC3CC3)CC2)CC1,325.4970000000002
Cc1cc[nH]c1C(=O)NC1C[NH+](CCC2CC2)C1,248.34999999999994
CCc1ccc(OCCNC(=O)NC2CCN(C(=O)OC(C)(C)C)C2)cc1,377.4850000000002
Cc1ccc([C@@H]2CCC[NH+](CCCc3cccc(Cl)c3)C2)cc1,328.90700000000004
COCC[NH+]1CCN(C(=O)c2ccc3[nH]ccc3c2)CC1,288.3710000000001
CCc1ccc(C[NH+]2CC(CNC(=O)C3=CCOCC3)C2)cc1,315.4370000000001
Cc1cccc(C(=O)NC2(C)CC[NH+](Cc3ccc(F)cc3)C2)c1,327.42300000000006
CC(C)c1ccc(CCC(=O)N2CCC[C@H](c3ccccc3)C2)cc1,335.491
CCOC(=O)N1CCN(C(=O)c2cccc(OCCCOC(C)(C)C)c2)CC1,392.49600000000027
CCOC(=O)CCNC(=O)CC1CCCCC1,241.33099999999993
C[NH+]1CCC[C@@H]1C[NH+]1CCN(C(=O)c2ccccc2)CC1,289.42300000000006
CC1(C(=O)NC2CCN(C(=O)c3ccc4ccccc4n3)CC2)CCCCC1,379.50400000000036
Cc1ccccc1C(=O)NC[C@H](C)CNC(=O)c1cccnc1,311.385
Cc1ccc(NC(=O)N2CCC[C@@H](n3cccn3)C2)cc1,284.36300000000006
Cc1ccccc1C(=O)NCCc1ccc(OCc2ccccc2)cc1,345.44199999999995
Cc1ccccc1C(=O)N[C@H]1CCC[NH+](CCc2cccc(F)c2)C1,341.45
Cc1cccc(C(=O)[C@@H](C(=O)N2CCOCC2)c2ccccc2)c1,323.39199999999994
Cc1ccc(CCNC(=O)N2CC[NH+](Cc3ccccc3)CC2)cc1,338.4750000000001
CCc1[nH]ccc1C(=O)NC1CC[NH+](Cc2ccc(F)cc2)C1,316.40000000000003
Cc1ccc(NC(=O)N2CCN(c3ccccc3)CC2)cc1C,309.41300000000007
CN(C)c1ccc(C[NH+]2CCN(c3ccccc3)CC2)cc1,296.43800000000005
Cc1ccc(OCC(=O)Nc2cccc(C)c2)cc1,255.31700000000004
CC[C@@H](C)C(=O)N1CCC[C@H]1NC(=O)C1CCCCC1,280.41200000000003
C[C@@H]1CC[C@@H](C[NH+]2CC(CNC(=O)C3CCCCC3)C2)O1,295.44700000000006
Cc1ccc(F)c(C(=O)NC[C@@H]2CCCCN2C(=O)OC(C)(C)C)c1,350.4340000000001
CCOC(=O)c1ccc(CNC(=O)NCc2ccc(F)cc2)o1,320.32
Cc1ncc(C[NH+]2CC(CNC(=O)c3cccc(F)c3)C2)o1,304.3450000000001
Cc1ccccc1C(=O)Nc1cccc(-n2cncn2)c1,278.315
Cc1cc(C[NH+]2CCN(C(=O)CCc3ccccc3)CC2)ccc1F,341.4500000000001
CC(C)(C)OC(=O)CNC(=O)c1ccccc1,235.28300000000002
