frag,score,size
[1*]C(C)(C)[NH2+]C[C@@H](O)c1ccc(O)c(O)c1,0.6666666666666666,16
[1*]c1cc(/C=C/[C@@H](O)C(C)(C)C)ccc1O,0.6327683615819208,16
[1*]Oc1ccc(C)cc1[C@@H](C)O,0.6327683615819208,12
[1*]C(C)(C)[C@H](O)/C=C/c1ccc(O)c(O)c1,0.6327683615819208,16
[1*][C@H](C)Oc1ccc(C)cc1[C@@H](C)O,0.6327683615819208,14
[1*][C@H](C)[C@H](C)Oc1ccc(C)cc1[C@@H](C)O,0.6327683615819208,16
[1*]/C=C/c1ccc(O)c(O)c1,0.6327683615819208,11
[1*]C(C)(O)c1cccc(C(C)(C)O)c1,0.6303030303030303,14
[1*]C(C)(C)c1cccc(C(C)(C)O)c1,0.6303030303030303,14
[1*]c1cccc(C(C)(C)O)c1,0.6303030303030303,11
[1*][NH+](CC)Cc1cc(C(C)=O)ccc1O,0.6222222222222222,15
[1*]c1ccc(C(C)=O)cc1C[NH+](CC)CC,0.6222222222222222,16
[1*][C@@H](O)c1ccc(O)cc1,0.6081871345029239,10
[1*]c1ccc(CCC)cc1[C@@H]([NH3+])CO,0.6081871345029239,14
[1*]c1ccc(O)c([C@@H]([NH3+])CO)c1,0.6081871345029239,12
[1*]C(C)[NH2+]C[C@@H](O)c1ccc(O)cc1,0.6081871345029239,14
[1*]c1cc(C)cc(CO)c1O,0.6037735849056604,11
[1*]Cc1cc(C)cc(CO)c1O,0.6037735849056604,12
[1*][NH2+][C@H](C)c1cc(O)ccc1O,0.6021505376344085,12
[1*]c1ccc(O)cc1[C@@H](C)[NH2+][C@H](CO)C(C)C,0.6021505376344085,17
[1*][C@@H](CO)[NH2+][C@H](C)c1cc(O)ccc1O,0.6021505376344085,15
[1*][C@@H](CO)c1cccc(C(C)(C)CC)c1O,0.6,16
[1*]CC(C)(C)c1cccc([C@@H]([NH3+])CO)c1O,0.6,16
[1*]c1c([C@@H]([NH3+])CO)cccc1C(C)(C)CC,0.6,16
[1*]C(C)(C)c1ccc(OC)c([C@@H](C)O)c1,0.5977011494252873,15
[1*][C@@H](O)c1cc(C(C)(C)C)ccc1OC,0.5977011494252873,15
[1*]C(C)(C)c1ccccc1C(C)(C)O,0.5952380952380952,14
[1*]c1ccccc1C(C)(C)O,0.5952380952380952,11
[1*]C(C)(O)c1ccccc1C(C)(C)O,0.5952380952380952,14
[1*]C(C)[C@@H](C[C@H](O)c1ccccc1)[C@@H](C)O,0.5901639344262295,16
[1*][C@@H](O)[C@H](C[C@H](O)c1ccccc1)C(C)C,0.5901639344262295,16
[1*][C@@H](C[C@H](C(C)C)[C@@H](C)O)c1ccccc1,0.5901639344262295,16
[1*]C(C)=C[C@@H](O)c1ccc(F)c(C)c1,0.5847953216374269,14
[1*]c1ccc([C@H](O)C=C(C)C)cc1C,0.5847953216374269,14
[1*][C@@H](O)CNCc1c[nH]nc1C(C)(C)C,0.5740740740740741,15
[1*]c1n[nH]cc1CNC[C@H](O)c1cccc(F)c1,0.5740740740740741,18
[1*]CNCc1c[nH]nc1C(C)(C)C,0.5740740740740741,13
[1*][C@H](CC(=C)C)c1cccc(C)c1,0.5714285714285714,13
[1*]N(C)c1ccc([C@@H](C)O)c(O)c1,0.5714285714285714,13
[1*]c1ccc(N(C)C[C@H]2C[C@@H]2C)cc1O,0.5714285714285714,15
[1*]CN[C@H](C)c1cc(C)sc1C,0.5714285714285714,12
[1*][C@@H](O)c1ccc(N(C)C[C@H]2C[C@@H]2C)cc1O,0.5714285714285714,17
[1*]Oc1cc([C@H](O)CO)ccc1O,0.5714285714285714,13
[1*]c1cc([C@@H](C)NC[C@H](O)c2cccc(C)c2)c(C)s1,0.5714285714285714,20
[1*][C@@H](c1cccc(O)c1)[NH+](C)CCC(C)(C)O,0.5714285714285714,17
[1*][C@H](C)[NH+](C)CCC(C)(C)O,0.5714285714285714,11
[1*]c1cccc([C@@H](O)CN[C@H](C)c2cc(C)sc2C)c1,0.5714285714285714,20
[1*]c1cc(N(C)[C@@H](C)CC#N)ccc1[C@@H](C)O,0.5714285714285714,17
[1*]c1ccc([C@H](O)CO)cc1OC,0.5714285714285714,13
[1*][C@@H](O)c1ccc(N(C)[C@@H](C)CC#N)cc1O,0.5714285714285714,17
[1*]N(C(=O)c1ccc(C)c(O)c1)[C@H](C)CC,0.5683060109289617,16
[1*][C@H]1[C@@H](O)C(C)(C)c2ccccc2C1(C)C,0.5683060109289617,16
[1*]C1(C)c2ccccc2C(C)(C)[C@@H](O)[C@H]1O,0.5683060109289617,16
[1*][C@@H]1[C@H](O)C(C)(C)c2ccccc2C1(C)C,0.5683060109289617,16
[1*]c1cc(C(=O)N(C)[C@H](C)CC)ccc1C,0.5683060109289617,16
[1*]N(C)C(=O)c1ccc(C)c(O)c1,0.5683060109289617,13
[1*][C@](O)(C=C(C)C)c1cc(C)ccc1C,0.5649717514124293,15
[1*][C@](C)(O)c1cc(C)ccc1C,0.5649717514124293,12
[1*][C@@H](C)C[C@H](C)CNC(=O)c1ccccc1O,0.5625,17
[1*][C@H](O)C[C@H](C)CNC(=O)c1ccccc1O,0.5625,17
[1*]C(CC)Oc1ccc(C)cc1[C@H](C)O,0.5591397849462365,15
[1*]C1(C)C[C@@H](O)c2cc([C@@H](C)CC)ccc21,0.5591397849462365,16
[1*]CC(CC)Oc1ccc(C)cc1[C@H](C)O,0.5591397849462365,16
[1*][C@H](C)c1ccc2c(c1)[C@H](O)CC2(C)C,0.5591397849462365,15
[1*][NH+](C)C(C)(C)C(=O)OCC,0.5572139303482586,11
[1*]COC(=O)C(C)(C)[NH+](C)Cc1cc(C)ccc1O,0.5572139303482586,19
[1*]C(C)(C(=O)OCC)[NH+](C)Cc1cc(C)ccc1O,0.5572139303482586,19
[1*]c1ccc([C@@H](O)[C@@](C)(CC)C[NH3+])cc1,0.5555555555555556,15
[1*]C[C@@](C)(C[NH3+])[C@H](O)c1ccc(C)cc1,0.5555555555555556,15
[1*][C@H](N[C@H](C)C(=O)N(C)C)c1cc(F)ccc1O,0.5538461538461539,18
[1*]c1ccc(O)c([C@H](C)N[C@H](C)C(=O)N(C)C)c1,0.5538461538461539,18
[1*]CNCc1cc(Br)ccc1O,0.5523809523809524,12
[1*][C@H](CNCc1cc(Br)ccc1O)c1ccccc1,0.5523809523809524,19
[1*]c1ccc(Br)cc1CNC[C@@H](O)c1ccccc1,0.5523809523809524,19
[1*]c1cccc([C@@](C)(O)C2(C)CC2)c1,0.5517241379310345,14
[1*][C@@H](c1ccc(C(C)C)cc1)[C@@H](C)O,0.5517241379310345,14
[1*][C@@H](O)[C@@H](C)c1ccc(C(C)C)cc1,0.5517241379310345,14
[1*][C@@H](C(=O)C(C)(C)O)c1ccccc1,0.5517241379310345,14
[1*]C[C@H](O)c1ccc(OC(C)C)cc1,0.5511111111111111,14
[1*][C@@H](CN[C@@H](C)c1cnc(C)s1)c1ccc(OC(C)C)cc1,0.5511111111111111,22
[1*][C@H](NCC(=O)NC)c1ccccc1O,0.5502645502645502,15
[1*]C[NH2+][C@H](C)[C@H](O)c1cccc(C2CC2)c1,0.5502645502645502,16
[1*][C@H](C)[C@H](O)c1cccc(C2CC2)c1,0.5502645502645502,14
[1*]N(C)S(=O)(=O)c1ccc(O)c(N)c1,0.5502645502645502,14
[1*]S(=O)(=O)c1ccc(O)c(N)c1,0.5502645502645502,12
[1*]C[C@H](NCC(=O)NC)c1ccccc1O,0.5502645502645502,16
[1*]C(C)(O)C[NH+](CC)C[C@H](O)c1ccc(C#N)cc1,0.5490196078431372,19
[1*][C@@H](C[NH+](CC)CC(C)(C)O)c1ccc(C#N)cc1,0.5490196078431372,19
[1*][C@H](C)c1ccc(N2C[C@@H](C)OC(C)(C)C2)cc1O,0.5490196078431372,19
[1*][C@@H](O)c1ccc(N2C[C@@H](C)OC(C)(C)C2)cc1O,0.5490196078431372,19
[1*]C(C)(C)C[NH+](CC)C[C@H](O)c1ccc(C#N)cc1,0.5490196078431372,19
[1*][C@@H]1CN(c2ccc([C@@H](C)O)c(O)c2)CC(C)(C)O1,0.5490196078431372,19
[1*][C@H](C)NC[C@@H](O)c1cccc(C)c1,0.5490196078431372,14
[1*]CCS(=O)(=O)[N-]c1cc(CC)ccc1O,0.5490196078431372,16
[1*]CNC[C@@H](O)c1ccccc1Cl,0.547945205479452,13
[1*]c1ccccc1[C@H](O)CNCc1cnc(C(C)(C)C)s1,0.547945205479452,21
[1*]CN(CC(C)C)c1ccccc1CO,0.5464480874316939,15
