frag,score,size
[1*]COC(=O)C1=C(CC)NC2=C(C(=O)CCC2)[C@@H]1c1ccccc1Cl,0.6855654600401043,25
[1*]OC(=O)C1=C(CC)NC2=C(C(=O)CCC2)[C@@H]1c1ccccc1Cl,0.6855654600401043,24
[1*][C@H]1C2=C(CCCC2=O)NC(CC)=C1C(=O)OCC,0.6855654600401043,19
[1*]C1=C(C)Nc2[nH]c(=S)[nH]c(=O)c2[C@H]1c1ccccc1Cl,0.6776309271789384,21
[1*]c1ccccc1[C@H]1C(C(=O)OC)=C(C)Nc2[nH]c(=S)[nH]c(=O)c21,0.6776309271789384,24
[1*][C@H]1C(C(=O)OC)=C(C)Nc2[nH]c(=S)[nH]c(=O)c21,0.6776309271789384,18
[1*]C1=C2S[C@H](C)C(=O)N2C(N)=C(C(=O)OCC)[C@H]1c1ccccc1F,0.6761234037828132,25
[1*]COC(=O)C1=C(N)N2C(=O)[C@@H](C)SC2=C(C(=O)OC)[C@@H]1c1ccccc1F,0.6761234037828132,28
[1*]C1=C(C(=O)OCC)[C@@H](c2ccccc2F)C(C(=O)OC)=C2S[C@H](C)C(=O)N12,0.6761234037828132,28
[1*]C1=C(C(=O)OC)[C@H](c2ccccc2Cl)C(C(=O)OC)=C2S[C@H](C)C(=O)N12,0.6755077198756877,27
[1*]C1=C(N)Oc2[nH]nc(C)c2[C@@H]1c1ccccc1Cl,0.6735044524148898,19
[1*]C1=C(C(=O)OCC)[C@@H](c2ccccc2Cl)c2c(C)n[nH]c2O1,0.6735044524148898,23
[1*]OC(=O)C1=C(N)Oc2[nH]nc(C)c2[C@@H]1c1ccccc1Cl,0.6735044524148898,22
[1*]C1C(C(=O)OCC)=C(C)NC(C)=C1C(=O)OCC,0.6690433824641326,19
[1*]C1=C(C)NC(C)=C(C(=O)OCC)C1c1nc2ccccc2[nH]1,0.6690433824641326,23
[1*]C(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1nc2ccccc2[nH]1,0.6690433824641326,25
[1*]C1=C(C)NC2=C(C(=O)[C@H](C(=O)OC)[C@@H](C)C2)[C@@H]1c1ccc(Cl)cc1,0.6267831705280087,25
[1*]C(=O)C1=C(C)NC2=C(C(=O)[C@H](C(=O)OC)[C@@H](C)C2)[C@@H]1c1ccc(Cl)cc1,0.6267831705280087,27
[1*]COC(=O)C1=C(C)NC2=C(C(=O)[C@H](C(=O)OC)[C@@H](C)C2)[C@@H]1c1ccc(Cl)cc1,0.6267831705280087,29
[1*]C1=C(C(=O)OCC)[C@H](c2ccccc2OC)c2c(cc(C)[nH]c2=O)O1,0.6265168509194157,26
[1*]COC(=O)C1=C(C)Nc2nc(SCC)nn2[C@@H]1c1ccccc1C,0.6219264046735664,25
[1*]CSc1nc2n(n1)[C@H](c1ccccc1C)C(C(=O)OCC)=C(C)N2,0.6219264046735664,25
[1*]C1=C(C[NH+]2CCSCC2)NC(=O)N[C@@H]1c1ccccc1Cl,0.6207423788637532,22
[1*]OC(=O)C1=C(C[NH+]2CCSCC2)NC(=O)N[C@@H]1c1ccccc1Cl,0.6207423788637532,25
[1*]C(=O)C1=C(C)NC(C)=C(C(=O)OC[C@@H]2CCCO2)[C@@H]1c1cccc(Br)c1,0.6196196990320526,27
