frag,score,size
[1*]n1nnc(S(=O)(=O)c2ccc(C)cc2)c1N,0.4583333333333333,17
[1*]c1nnn(-c2ccc(C(C)C)cc2)c1N,0.4583333333333333,16
[1*]C(C)c1ccc(-n2nnc(S(=O)(=O)c3ccc(C)cc3)c2N)cc1,0.4583333333333333,25
[1*]S(=O)(=O)[N-]c1nc(-c2ccc(F)cc2)cs1,0.4468085106382978,17
[1*]c1ccc(S(=O)(=O)[N-]c2nc(-c3ccc(F)cc3)cs2)cc1,0.4468085106382978,23
[1*]c1ccc(-c2csc([N-]S(=O)(=O)c3ccc(C)cc3)n2)cc1,0.4468085106382978,23
[1*]c1nn(Cc2cccc(C(F)(F)F)c2)cc1C=O,0.4387755102040816,19
[1*]c1cccc(Cn2cc(C=O)c(-c3ccc(C)cc3)n2)c1,0.4387755102040816,22
[1*]c1ccc(-c2nn(Cc3cccc(C(F)(F)F)c3)cc2C=O)cc1,0.4387755102040816,25
[1*]c1ccc(-n2cc(S(=O)(=O)c3ccc(C)cc3)[nH]c2=O)cc1,0.4361702127659574,23
[1*]S(=O)(=O)c1cn(-c2ccc(C)cc2)c(=O)[nH]1,0.4361702127659574,17
[1*]c1ccc(=O)n(CC(=O)Nc2ccc(C(F)(F)F)cc2)n1,0.4326923076923077,22
[1*]C(=O)Cn1nc(-c2ccc(C)cc2)ccc1=O,0.4326923076923077,18
[1*]C(F)(F)c1ccc(NC(=O)Cn2nc(-c3ccc(C)cc3)ccc2=O)cc1,0.4326923076923077,28
[1*]c1cnn(-c2ccc(C(=O)OC)cc2)c1N,0.431578947368421,17
[1*]C(=O)c1ccc(-n2ncc(-c3ccc(C)cc3)c2N)cc1,0.431578947368421,22
[1*]c1ccc(-c2cnn(-c3ccc(C(=O)OC)cc3)c2N)cc1,0.431578947368421,23
[1*]c1ccc(-c2noc(CS(=O)(=O)c3ccc(F)cc3)n2)cc1,0.431578947368421,23
[1*]C(F)(F)c1cccc(Nc2nc(-c3ccc(S(C)(=O)=O)cc3)cs2)c1,0.43,26
[1*]C(F)(F)c1ccc(S(=O)(=O)Oc2cccc3ccc(C)nc23)cc1,0.4285714285714285,25
[1*]S(=O)(=O)[N-]c1ncc(C(F)(F)F)cc1Cl,0.4285714285714285,16
[1*]c1cc(C(F)(F)F)cnc1[N-]S(=O)(=O)c1ccc(C)cc1,0.4285714285714285,22
[1*][N-]c1ncc(C(F)(F)F)cc1Cl,0.4285714285714285,13
