frag,score,size
[1*]Nc1ncnc2cc(OC)c(OC)cc12,0.870790932406718,16
[1*]c1cccc(Nc2ncnc3cc(OC)c(OC)cc23)c1,0.870790932406718,22
[1*]c1cc2c(NCc3ccccc3F)ncnc2cc1OC,0.8663630527245004,22
[1*]c1cc2ncnc(NCc3ccccc3F)c2cc1OC,0.8663630527245004,22
[1*]c1ncnc2cc(OC)c(OC)cc12,0.7099943966846425,15
[1*]n1c(CCNc2ncnc3cc(F)c(F)cc23)nc2ccc(F)cc21,0.6275976443511813,26
[1*][C@H](C)CNc1cc(-n2ccnc2)ncn1,0.6263463131731566,16
[1*]c1cc(NC[C@@H](C)c2nc(-c3ccccc3)no2)ncn1,0.6263463131731566,22
[1*]c1c(Nc2ccc3c(c2)OCO3)ncnc1Nc1nc(C)c(C)s1,0.6262363352420615,25
[1*]Nc1ncnc(Nc2nc(C)c(C)s2)c1[N+](=O)[O-],0.6262363352420615,19
[1*][N+](=O)c1c(Nc2ccc3c(c2)OCO3)ncnc1Nc1nc(C)c(C)s1,0.6262363352420615,27
[1*]c1csc2ncnc(Nc3ccc4c(c3)OCCO4)c12,0.6247156321091973,21
[1*]c1c(Nc2ccc(F)c(F)c2)ncnc1Nc1cccc(C)n1,0.6240135287485907,24
[1*]CNc1ncc2c(=O)n(-c3cccc(C)c3C)c([O-])nc2n1,0.6211828993892639,23
[1*]c1cccc(-n2c([O-])nc3nc(NCc4ccc5c(c4)OCO5)ncc3c2=O)c1C,0.6211828993892639,31
[1*]c1cc(-n2ncc3c(Nc4ccc5c(c4)OCO5)ncnc32)ccc1C,0.6211273372458032,27
[1*][N+](=O)c1c(Nc2ccc(F)c(F)c2)ncnc1Oc1cccc2cccnc12,0.6210881703674848,29
[1*]c1cc(Nc2ncnc(Oc3cccc4cccnc34)c2[N+](=O)[O-])ccc1F,0.6210881703674848,29
[1*]Oc1cc(Nc2ncnc3c2cnn3-c2ccc(F)cc2)ccc1OC,0.6197625221782448,27
[1*]c1cc(Nc2ncnc3c2cnn3-c2ccc(F)cc2)ccc1OC,0.6197625221782448,26
[1*]c1cccc(-n2ncc3c(Nc4ccc5c(c4)OCCO5)ncnc32)c1,0.6193418543888143,27
[1*]c1ncnc2c1cnn2-c1cccc(Cl)c1,0.6193418543888143,17
[1*]C(C)(C)c1nn(C)cc1C(=O)Nc1cc(-c2nncn2C)ccn1,0.618708137144373,25
[1*]n1cnnc1-c1ccnc(NC(=O)c2cn(C)nc2C(C)(C)C)c1,0.618708137144373,25
[1*]c1ccnc(NC(=O)c2cn(C)nc2C(C)(C)C)c1,0.618708137144373,20
[1*]Oc1cccc(CNc2ncnc3sc(-c4ccccc4)cc23)c1OC,0.6182574196993973,27
[1*]Oc1c(CNc2ncnc3sc(-c4ccccc4)cc23)cccc1OC,0.6182574196993973,27
[1*]c1cc2c(NCc3cccc(OC)c3OC)ncnc2s1,0.6182574196993973,22
[1*]c1cc(Nc2ccc3c(c2)OCCO3)ncn1,0.6180366186209583,18
[1*]Nc1ncnc(Nc2cc(C)ccn2)c1[N+](=O)[O-],0.6170256835128418,19
[1*]c1c(Nc2ccc(F)c(Cl)c2)ncnc1Nc1cc(C)ccn1,0.6170256835128418,24
