frag,score,size
[1*][C@H]1CCN(C(=O)CN2CCN(c3ncccn3)CC2)c2ccccc2S1,0.9873017819215698,27
[1*]c1ccc2c(c1)[C@H]([NH+]1CCN(CCO)CC1)CC[C@@H]2c1ccc(F)cc1,0.980880695442798,27
[1*]N1CC[NH+]([C@@H]2CC[C@H](c3ccc(F)cc3)c3ccc(F)cc32)CC1,0.980880695442798,25
[1*][C@@H]1CC[C@H](c2ccc(F)cc2)c2ccc(F)cc21,0.980880695442798,19
[1*]C(F)(F)c1ccc2c(c1)c1c(n2CCc2ccccc2)CCN(C)C1,0.970548245832236,26
[1*]c1ccc2c(c1)c1c(n2CCc2ccccc2)CCN(C)C1,0.970548245832236,23
[1*]n1c2c(c3cc(C(F)(F)F)ccc31)CN(C)CC2,0.970548245832236,19
[1*]c1cc2c(cc1OC)CCN(C1CCN(C)CC1)[C@@H]2c1cccc(Cl)c1,0.9704901576332612,27
[1*][C@@H]1c2cc(OC)c(OC)cc2CCN1C1CCN(C)CC1,0.9704901576332612,22
[1*]Oc1cc2c(cc1OC)CCN(C1CCN(C)CC1)[C@@H]2c1cccc(Cl)c1,0.9704901576332612,28
[1*]c1ccc(CCN2CCC([NH2+][C@H]3C[C@@H]3CCC)CC2)cc1,0.9701349560991632,22
[1*]C[C@H]1C[C@@H]1[NH2+]C1CCN(CCc2ccc(F)cc2)CC1,0.9701349560991632,21
[1*]c1c(C[NH+]2CCC[C@H](N3CCN(c4ccc(OC)cc4)CC3)C2)[nH]c2ccccc12,0.9666444548113,31
[1*]N1CCN([C@H]2CCC[NH+](Cc3[nH]c4ccccc4c3C)C2)CC1,0.9666444548113,24
[1*]C(=O)N1CCCc2cc([C@H](O)CN3CCN(c4ccc(F)cc4)CC3)ccc21,0.9560272599540474,29
[1*]N1CCCc2cc([C@H](O)CN3CCN(c4ccc(F)cc4)CC3)ccc21,0.9560272599540474,27
[1*]N1CCN(C[C@@H](O)c2ccc3c(c2)CCCN3C(=O)CC)CC1,0.9560272599540474,24
[1*]C(=O)N1CCCc2cc([C@@H](O)CN3CCN(c4ccc(F)cc4)CC3)ccc21,0.955460826594353,29
[1*]C[C@H](O)c1ccc2c(c1)CCCN2C(C)=O,0.955460826594353,17
[1*]N1CCN(C[C@H](O)c2ccc3c(c2)CCCN3C(C)=O)CC1,0.955460826594353,23
[1*]c1cccc(CN[C@H]2CCc3ccccc3C2)c1OC,0.9551212477838528,21
[1*]Oc1cccc(CN[C@H]2CCc3ccccc3C2)c1OC,0.9551212477838528,22
[1*]c1ccc(C2(C(=O)NCCN3CCN(c4ccccc4OC)CC3)CCCC2)cc1,0.9527494362367916,31
[1*]C(=O)NCCN1CCN(c2ccccc2OC)CC1,0.9527494362367916,20
[1*]N1CCN(Cc2cccc(OC)c2)CC1,0.9514899575449948,16
[1*]c1ccccc1[C@@H](O)c1nccs1,0.9514899575449948,14
[1*]CN1CCN(c2ccccc2[C@@H](O)c2nccs2)CC1,0.9514899575449948,21
[1*][C@H](O)c1ccccc1N1CCN(Cc2cccc(OC)c2)CC1,0.9514899575449948,24
[1*]N1CCN(CCC[NH2+]Cc2cccc3cccnc23)CC1,0.9460249442815812,22
[1*]CCC[NH2+]Cc1cccc2cccnc12,0.9460249442815812,16
[1*]c1cccc([C@@H](O)c2ccccn2)c1N1CCN(Cc2ccccc2)CC1,0.9405373428090392,28
[1*]N1CCN(c2c(F)cccc2[C@@H](O)c2ccccn2)CC1,0.9405373428090392,22
[1*][C@@H](c1ccccn1)c1cccc(F)c1N1CCN(Cc2ccccc2)CC1,0.9405373428090392,28
[1*]c1cccc([C@@H](CNCc2cc(Br)ccc2F)N2CCCC2)c1,0.9378774352124112,24
[1*]Oc1cccc([C@@H](CNCc2cc(Br)ccc2F)N2CCCC2)c1,0.9378774352124112,25
[1*]c1ccc(Br)cc1CNC[C@H](c1cccc(OC)c1)N1CCCC1,0.9378774352124112,25
[1*]N1CCN([C@H]2CCc3ccccc3C2)CC1,0.9363183628711994,17
[1*]C(=O)c1sc(NC)nc1C,0.9363183628711994,11
[1*]N1CCN(C(=O)c2sc(NC)nc2C)CC1,0.9363183628711994,17
[1*]c1cccc(CCN[C@H]2CCc3cc(Br)ccc32)c1,0.9338891885929504,20
[1*]CCN[C@H]1CCc2cc(Br)ccc21,0.9338891885929504,14
[1*]Oc1ccccc1N1CCN(CC(=O)N2CCSc3ccccc32)CC1,0.931624517506198,27
[1*]COc1ccccc1N1CCN(CC(=O)N2CCSc3ccccc32)CC1,0.931624517506198,28
[1*]c1ccccc1N1CCN(CC(=O)N2CCSc3ccccc32)CC1,0.931624517506198,26
[1*][NH2+][C@H]1CCCN(C2Cc3ccccc3C2)C1,0.9300815168535204,17
