frag,score,size
[1*]c1ccc([C@]2(CC(=O)N3CCC([C@@H](O)c4ccccn4)CC3)CC(=O)N(C)C2=O)cc1,0.7563948721762482,32
[1*][C@@H](c1ccccn1)C1CCN(C(=O)C[C@@]2(c3ccc(-c4ccccc4)cc3)CC(=O)N(C)C2=O)CC1,0.7563948721762482,37
[1*]S(=O)(=O)N1CCN(C(=O)CC(c2ccccc2)c2ccccc2)CC1,0.7553514433312596,26
[1*]c1ccccc1S(=O)(=O)N1CCN(C(=O)CC(c2ccccc2)c2ccccc2)CC1,0.7553514433312596,32
[1*]N1CCN(C(=O)c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])CC1,0.7447256168822545,21
[1*][N+](=O)c1ccc(C(=O)N2CCN(C(c3ccccc3)c3ccccc3)CC2)c([N+](=O)[O-])c1,0.7447256168822545,33
[1*]NC(=O)[C@@H](C1CCCC1)N1CCN(C(=O)c2ccc([N+](=O)[O-])cc2)CC1,0.743960206350907,27
[1*][C@@H](C1CCCC1)N1CCN(C(=O)c2ccc([N+](=O)[O-])cc2)CC1,0.743960206350907,24
[1*]C(=O)[C@@H](C1CCCC1)N1CCN(C(=O)c2ccc([N+](=O)[O-])cc2)CC1,0.743960206350907,26
[1*][N+](=O)c1ccc(C[NH+](CCC)C2CCN(C(=O)c3ccccc3)CC2)cc1O,0.7325794899829511,29
[1*]C(=O)N1CCC([NH+](CCC)Cc2ccc([N+](=O)[O-])c(O)c2)CC1,0.7325794899829511,24
[1*]c1ccc(C[NH+](CCC)C2CCN(C(=O)c3ccccc3)CC2)cc1O,0.7325794899829511,27
[1*]C[NH+]1CCN([C@@H](C(=O)[O-])c2c[nH]c3ccc(Cl)cc23)CC1,0.7319587495200228,22
[1*]CCNc1cc(=O)oc2ccccc12,0.7319587495200228,15
[1*][NH+]1CCN([C@@H](C(=O)[O-])c2c[nH]c3ccc(Cl)cc23)CC1,0.7319587495200228,21
[1*]N1CCN(C(=O)CCCn2c3ccccc3c(=O)c3ccccc32)CC1,0.73173124217589,27
[1*]C(=O)Nc1c[nH+]c(N2CCN(C(c3ccccc3)c3ccccc3)CC2)c(C(=O)[O-])c1,0.7286217784094793,32
[1*]c1cc(NC(=O)CC)c[nH+]c1N1CCN(C(c2ccccc2)c2ccccc2)CC1,0.7286217784094793,31
[1*]C(=O)COC(=O)c1cc(O)c2ccccc2c1O,0.7278539562383143,19
[1*]OC(=O)c1cc(O)c2ccccc2c1O,0.7278539562383143,16
[1*][N+](=O)c1cccc(CN2CCN(C(=O)CCNC(=O)c3ccc4ccccc4c3)CC2)c1,0.727523408305827,33
[1*]C(=O)NCCC(=O)N1CCN(Cc2cccc([N+](=O)[O-])c2)CC1,0.727523408305827,24
[1*]CN1CCN(C(=O)CCNC(=O)c2ccc3ccccc3c2)CC1,0.727523408305827,25
[1*][C@@H]1C(C(=O)c2ccncc2)=C([O-])C(=O)N1CCN1CCOCC1,0.7269636239826918,24
[1*]CN1C(=O)C([O-])=C(C(=O)c2ccncc2)[C@H]1c1ccc(O)cc1,0.7269636239826918,24
[1*]c1cccc(CN2CCN(c3ccc(C(=O)c4ccccc4)cc3[N+](=O)[O-])CC2)c1,0.7253914723248055,31
[1*]C(=O)c1ccc(N2CCN(Cc3cccc(O)c3)CC2)c([N+](=O)[O-])c1,0.7253914723248055,26
[1*]c1cccc([C@@H]2C(C(=O)c3ccc(Br)cc3)=C([O-])C(=O)N2CCN2CCOCC2)c1,0.7226334188086248,31
[1*]CN1C(=O)C([O-])=C(C(=O)c2ccc(Br)cc2)[C@H]1c1cccc(O)c1,0.7226334188086248,25
[1*]c1cccc(C[NH+](Cc2ccc([N+](=O)[O-])c(O)c2)C2CCC(O)CC2)c1,0.7221505685921553,27
[1*]c1ccc(C[NH+](Cc2cccc(OC)c2)C2CCC(O)CC2)cc1O,0.7221505685921553,26
[1*]c1cc(C[NH+](Cc2cccc(OC)c2)C2CCC(O)CC2)ccc1[N+](=O)[O-],0.7221505685921553,28
[1*]C1=C([O-])C(=O)N(CCN2CCOCC2)[C@H]1c1cccc(O)c1,0.7216621361611519,23
[1*]CCN1C(=O)C([O-])=C(C(=O)c2ccc3c(c2)C[C@H](C)O3)[C@@H]1c1cccc(O)c1,0.7216621361611519,29
[1*]c1cccc([C@H]2C(C(=O)c3ccc4c(c3)C[C@H](C)O4)=C([O-])C(=O)N2CCN2CCOCC2)c1,0.7216621361611519,34
[1*]c1cccc2c1C(=O)N(Cc1ccncc1)C2=O,0.7201396407780416,19
[1*][C@H](O)CN(C)C(=O)C1CCN(c2cccc3c2C(=O)N(Cc2ccncc2)C3=O)CC1,0.7201396407780416,32
[1*]C(=O)C1CCN(c2cccc3c2C(=O)N(Cc2ccncc2)C3=O)CC1,0.7201396407780416,27
[1*]N1CCC(C(=O)N(C)C[C@@H](O)c2ccccc2)CC1,0.7201396407780416,20
[1*]N(C)C[C@@H](O)c1ccccc1,0.7201396407780416,12
[1*][C@H]1Cc2cc(C(=O)C3=C(O)C(=O)N(CC[NH+]4CCOCC4)[C@H]3c3ccncc3)ccc2O1,0.719794293598005,33
[1*]C1=C(O)C(=O)N(CC[NH+]2CCOCC2)[C@H]1c1ccncc1,0.719794293598005,22
[1*]C(=O)C1=C(O)C(=O)N(CC[NH+]2CCOCC2)[C@H]1c1ccncc1,0.719794293598005,24
[1*]N1C(=O)C(O)=C(C(=O)c2ccc3c(c2)C[C@@H](C)O3)[C@@H]1c1ccncc1,0.719794293598005,26
[1*]Nc1ccnn1C1CC[NH+](Cc2nc(-c3ccccc3)no2)CC1,0.7178651362685112,25
