frag,score,size
[1*]Oc1cccc(N/N=C2\C(=O)NN=C2c2ccccc2)c1,0.99,22
[1*]C1=NNC(=O)/C1=N\Nc1cccc(OC)c1,0.99,17
[1*]c1cccc(N/N=C2\C(=O)NN=C2c2ccccc2)c1,0.99,21
[1*]c1nn(-c2ccccc2)cc1/C=N\O,0.96,15
[1*]c1ccc(-c2nn(-c3ccccc3)cc2/C=N\O)cc1,0.96,21
[1*][N+](=O)c1ccc(-c2nnc(SCc3ccccc3)o2)cc1,0.95,22
[1*]C(=O)c1sc(Nc2ccc(C)cc2)nc1N,0.89,17
[1*]Nc1nc(N)c(C(=O)c2ccccc2)s1,0.89,16
[1*]c1ccc(Nc2nc(N)c(C(=O)c3ccccc3)s2)cc1,0.89,22
[1*]c1ccc(/C=C2/S/C(=N/c3ccc(O)cc3)NC2=O)cc1OC,0.88,24
[1*]/C=C1/S/C(=N/c2ccc(O)cc2)NC1=O,0.88,16
[1*]C1=C(Cl)C(=O)NC1=O,0.85,9
[1*]C1=C(c2c[nH]c3ncccc23)C(=O)NC1=O,0.85,17
[1*]Nc1nc(NCC[NH+](C)C)nc(N)c1[N+](=O)[O-],0.84,18
[1*]Nc1nc(N)c([N+](=O)[O-])c(Nc2cccc(C)c2)n1,0.84,20
[1*][NH+](C)CCNc1nc(N)c([N+](=O)[O-])c(Nc2cccc(C)c2)n1,0.84,24
[1*]c1ccnc(Nc2ccccc2)n1,0.83,14
[1*]Nc1nccc(-c2ccc(OC)cc2)n1,0.83,16
[1*]c1c(-c2ccnc(Nc3cccc(Cl)c3)n2)nnc2nc(-c3ccco3)nn12,0.82,29
[1*]c1cccc(Nc2nccc(-c3nnc4nc(-c5ccco5)nn4c3C)n2)c1,0.82,29
[1*]NCCC(=O)N1CC=C(c2c[nH]c3ncccc23)CC1,0.78,21
[1*]c1ccc(OC)c(Nc2nc(N)c(C(=O)c3ccccc3)s2)c1,0.77,24
[1*]/C=C1\S/C(=N\c2ccc(F)cc2)NC1=O,0.77,16
[1*]c1sc(Nc2cc(Cl)ccc2OC)nc1N,0.77,17
[1*]C(=O)c1sc(Nc2cc(Cl)ccc2OC)nc1N,0.77,19
[1*]c1cc(/C=C2\S/C(=N\c3ccc(F)cc3)NC2=O)ccc1O,0.77,23
[1*]c1ccc(/N=C2/NC(=O)/C(=C/c3ccc(O)c(O)c3)S2)cc1,0.77,23
[1*]c1cc(Cl)c2nc(Cc3nc(-c4c[nH]c5ncccc45)cs3)cn2c1,0.76,26
[1*]c1ccc(OC)c(Nc2nc(N)c(C(=O)c3ccc(OC)cc3)s2)c1,0.76,26
[1*]c1nc(N)c(C(=O)c2cccc(OC)c2)s1,0.76,17
[1*]c1ccc(/C=N/Nc2ncnc3c2cnn3-c2ccccc2)cc1,0.76,25
[1*]Nc1nc(N)c(C(=O)c2cccc(OC)c2)s1,0.76,18
[1*]c1csc(Cc2cn3cc(Cl)cc(Cl)c3n2)n1,0.76,18
[1*]c1sc(Nc2cc(C)ccc2OC)nc1N,0.76,17
[1*]C(F)Oc1ccc(/C=N/Nc2ncnc3c2cnn3-c2ccccc2)cc1,0.76,28
[1*]c1cc(Cl)cn2cc(Cc3nc(-c4c[nH]c5ncccc45)cs3)nc12,0.76,26
[1*]c1nc(Nc2cccc(C(=O)OC)c2)sc1C(=O)c1cccc(OC)c1,0.76,27
[1*]c1nc(Nc2cc(C)ccc2OC)sc1C(=O)c1ccc(OC)cc1,0.76,26
[1*]C1=CCN(c2cc(C(=O)N(C)C)ccn2)CC1,0.75,18
[1*]N(C)C(=O)c1ccnc(N2CC=C(c3c[nH]c4ncccc34)CC2)c1,0.75,26
[1*]c1ccc(Nc2nc(-c3ccc(Cl)cc3)cs2)cc1,0.75,20
[1*]CC(=O)N1CC=C(c2c[nH]c3ncccc23)CC1,0.74,19
[1*]c1ccc2c(c1)/C(=C/c1ccc(Cl)cc1)C(=O)N2,0.74,19
[1*]c1cccc(Nc2nccc(NN)n2)c1,0.73,16
[1*]c1ccnc(Nc2cccc(F)c2)n1,0.73,15
[1*][N+](=O)c1ccc(CSc2nnc(-c3ccc(S(C)(=O)=O)cc3)o2)cc1,0.73,26
[1*]Sc1nnc(-c2ccc(S(C)(=O)=O)cc2)o1,0.73,17
[1*]c1ccc(/C=C2\C(=O)Nc3ccc(Cl)cc32)cc1,0.7224999999999999,19
[1*]c1nc(-c2c[nH]c3ncccc23)cs1,0.72,15
[1*]c1nnc([O-])c(-c2nc(-c3c[nH]c4ncccc34)cs2)c1CC,0.72,24
[1*]Cc1c(CC)nnc([O-])c1-c1nc(-c2c[nH]c3ncccc23)cs1,0.72,25
[1*]/C=C1\C(=O)Nc2ccc(Cl)cc21,0.705,13
[1*]c1ccc2c(c1)/C(=C/c1ccc(CC)cc1)C(=O)N2,0.705,20
[1*]S(=O)(=O)c1ccc2c(c1)/C(=C/c1cc(Br)ccc1OCc1ccccc1)C(=O)N2,0.7,30
[1*]c1ccc(Br)cc1/C=C1\C(=O)Nc2ccc(S(N)(=O)=O)cc21,0.7,23
[1*]COc1ccc(Br)cc1/C=C1\C(=O)Nc2ccc(S(N)(=O)=O)cc21,0.7,25
[1*]Cn1c(-c2nonc2N)nc2ccccc21,0.7,17
[1*]C1=CCN(C(=O)Cn2c(=O)[nH]c(=O)c3ccccc32)CC1,0.7,22
[1*]Nc1nc(N)c([N+](=O)[O-])c(NCc2ccco2)n1,0.69,19
[1*]CNc1nc(N)c([N+](=O)[O-])c(NCc2ccco2)n1,0.69,20
[1*]C1=CCN(c2ncnc3c2NC(=O)CN3)CC1,0.69,18
[1*]c1nc(N)c([N+](=O)[O-])c(NCc2ccco2)n1,0.69,18
[1*]Oc1cc(/C=C2\S/C(=N/N=C/c3ccco3)NC2=O)ccc1O,0.69,24
[1*]/N=C1\NC(=O)/C(=C/c2ccc(O)c(OC)c2)S1,0.69,18
[1*]/C=C1\C(=O)Nc2ccc(Br)cc21,0.69,13
[1*]c1ccc(/C=C2\C(=O)Nc3ccc(Br)cc32)cc1,0.69,19
[1*]CC(=O)Nc1nn(CC(C)C)c2nc3ccc(OC)cc3cc12,0.68,24
[1*]Nc1nccc(-c2nnc3nc(C)nn3c2C)n1,0.68,19
