frag,score,size
[1*][N+](=O)/C=C\c1cccn1C,1.0,11
[1*]OC(=O)Nc1cccnc1,1.0,11
[1*]n1cccc1/C=C\[N+](=O)[O-],1.0,11
[1*][C@@H](F)c1ccnn1CC,0.9753099120283328,10
[1*]C(=O)[C@@H](F)c1ccnn1CC,0.9753099120283328,12
[1*]c1cnc(N)c(C(=O)OC)c1,0.9048374180359596,12
[1*]c1cnc(OC)c(C(N)=O)c1,0.9048374180359596,12
[1*]Oc1ncc(Br)cc1C(N)=O,0.9048374180359596,12
[1*]c1cc(I)cc(CO)n1,0.9048374180359596,10
[1*]c1cc(CO)nc(CO)c1,0.9048374180359596,11
[1*]Cc1cc(I)cc(CO)n1,0.9048374180359596,11
[1*]C(=O)c1cc(Br)cnc1N,0.9048374180359596,11
[1*]c1ncc(Br)cc1C(=O)OC,0.9048374180359596,12
[1*]NC(=O)CS,0.9048374180359596,6
[1*]c1nc(C)n(CC(=O)OC)c1Cl,0.9048374180359596,13
[1*]c1cn2c(n1)OC(Cl)=CC2,0.9048374180359596,11
[1*]C1=CCn2cc(CO)nc2O1,0.9048374180359596,12
[1*]OC(=O)Nc1ccc(Br)cn1,0.9048374180359596,12
[1*]Cn1c(C)nc(Cl)c1Cl,0.9048374180359596,10
[1*]c1nc(Cl)c(Cl)n1CC(=O)OC,0.9048374180359596,13
[1*]Cc1cn2c(n1)OC(Cl)=CC2,0.9048374180359596,12
[1*]c1cnc(Cl)cc1N,0.9048374180359596,9
[1*]c1cc(N)c(C(=O)OC)cn1,0.9048374180359596,12
[1*]OC(=O)c1cnc(Cl)cc1N,0.9048374180359596,12
[1*][C@]1(C)C(=O)N(Cl)C(=O)N1Cl,0.8824969025845953,11
[1*]S(=O)(=O)c1cccc(C)c1Cl,0.8824969025845953,12
[1*]c1cccc(S(N)(=O)=O)c1Cl,0.8824969025845953,12
[1*][C@H](/C=C/C(=O)[O-])n1cncn1,0.8824969025845953,12
[1*]c1c[nH]nc1C(=O)OCC,0.8824969025845953,11
[1*]COC(=O)c1n[nH]cc1C=O,0.8824969025845953,12
[1*]/C=C/[C@@H](C)n1cncn1,0.8824969025845953,10
[1*]N1C(=O)N(Cl)[C@](C)(CC)C1=O,0.8824969025845953,12
[1*]C(=O)/C=C/[C@@H](C)n1cncn1,0.8824969025845953,12
[1*]C(Cl)(Cl)[C@H](O)Nc1cccc[nH+]1,0.8187307530779818,13
[1*]c1cc(S(=O)(=O)NCC#N)sc1Br,0.8187307530779818,14
[1*][C@H](C(=O)[O-])c1[nH+]ccn1CC,0.8187307530779818,12
[1*][C@@H]1CC(=O)N=C2NCC=[N+]21,0.8187307530779818,11
[1*]C(=O)O[C@](C)(CC#C)C(Cl)(Cl)Cl,0.8187307530779818,13
[1*][C@@H]1C(=O)N2C(C(=O)[O-])=CCS[C@@H]12,0.8187307530779818,13
[1*]C(Cl)(Cl)[C@@](C)(CC#C)OC(N)=O,0.8187307530779818,13
[1*][C@H](Nc1cccc[nH+]1)C(Cl)(Cl)Cl,0.8187307530779818,13
[1*]C[C@@](C)(OC(N)=O)C(Cl)(Cl)Cl,0.8187307530779818,12
[1*]C(=O)c1nc(C)no1,0.8187307530779818,9
[1*]C(=O)[C@@H](F)c1[nH+]ccn1CC,0.8187307530779818,12
[1*]n1cc[nH+]c1[C@H](F)C(=O)[O-],0.8187307530779818,11
[1*]c1c(I)c(C(=O)OC)nn1C,0.8187307530779818,12
[1*]c1nn(C)c(C)c1I,0.8187307530779818,9
[1*]OC(=O)c1cc(=O)[nH]c(SC)n1,0.8187307530779818,13
[1*]C1=CCS[C@H]2[C@H]([NH3+])C(=O)N12,0.8187307530779818,11
[1*]COC(=O)c1nc(C)no1,0.8187307530779818,11
[1*]c1nnc(SCCC(=O)[O-])s1,0.8187307530779818,12
[1*]c1cc(=O)[nH]c(SC)n1,0.8187307530779818,10
[1*]Oc1nc(OC)ncc1C#N,0.8187307530779818,12
