frag,score,size
[1*]Nc1nccc(-c2ccc(OC)cc2)n1,0.68,16
[1*]c1ccnc(Nc2ccccc2)n1,0.68,14
[1*]c1ccc(Nc2nc(-c3ccc(Cl)cc3)cs2)cc1,0.67,20
[1*]Cc1ccc(C(=O)N2CCN(c3ccccc3)CC2)cc1,0.66,22
[1*]c1ccc(/C=C2\C(=O)NN(c3cccc(Cl)c3)C2=O)cc1[N+](=O)[O-],0.62,25
[1*]c1cc(/C=C2\C(=O)NN(c3cccc(Cl)c3)C2=O)ccc1O,0.62,23
[1*]N1NC(=O)/C(=C\c2ccc(O)c([N+](=O)[O-])c2)C1=O,0.62,19
[1*]c1c(NC(=O)c2ccccc2OC(F)F)sc2c1CCC2,0.55,22
[1*]c1ccccc1C(=O)Nc1sc2c(c1C#N)CCC2,0.55,20
[1*]c1ccc(C)c(NC(=O)Cc2cccc3ccccc23)c1,0.51,22
[1*]C(=O)N[C@H]1CO[C@H]2[C@@H]1OC[C@@H]2Nc1nccc(-c2ccc(-c3ccccc3)cc2)n1,0.5,31
[1*]c1ccc(-c2ccnc(N[C@H]3CO[C@H]4[C@@H]3OC[C@@H]4NC(=O)Nc3ccccc3)n2)cc1,0.5,32
[1*]C(=O)Nc1sc2c(c1C#N)CC[NH+](C)C2,0.5,16
[1*][NH+]1CCc2c(sc(NC(=O)c3ccccc3F)c2C#N)C1,0.5,22
[1*]c1c(NC(=O)c2ccccc2F)sc2c1CC[NH+](C)C2,0.5,21
[1*]c1c(NC(=O)c2cccc3ncccc23)sc2c1CCC2,0.49,22
[1*]Oc1cc(OC)c(NC(=O)Cc2cccc3ccccc23)cc1Cl,0.49,25
[1*]Sc1ccccc1NC(=O)Cc1cccc2ccccc12,0.49,22
[1*]N[C@H]1CO[C@H]2[C@@H]1OC[C@@H]2NC(=O)C(C)(C)C,0.49,17
[1*]c1ccnc(N[C@H]2CO[C@H]3[C@@H]2OC[C@@H]3NC(=O)C(C)(C)C)n1,0.49,23
[1*]C(=O)N[C@H]1CO[C@H]2[C@@H]1OC[C@@H]2Nc1nccc(-c2cccc(F)c2)n1,0.49,26
[1*]Oc1cc(OC)c(Cl)cc1NC(=O)Cc1cccc2ccccc12,0.49,25
[1*]c1nc(=O)c2sccc2[nH]1,0.47,11
[1*]Nc1nc(=O)c2sccc2[nH]1,0.47,12
[1*]c1c(NC(=O)c2cc(F)ccc2Br)sc2c1CCC2,0.47,20
[1*]c1ccnc(Nc2nc(=O)c3sccc3[nH]2)n1,0.47,18
[1*]Nc1nccc(-c2ccccc2)n1,0.47,14
[1*]Oc1ccc(NC(=O)Cc2cccc3ccccc23)c([N+](=O)[O-])c1,0.47,25
[1*][N+](=O)c1cc(OCC)ccc1NC(=O)Cc1cccc2ccccc12,0.47,26
[1*]c1cc(/C=C2/C(=O)NN(c3ccc(Cl)c(Cl)c3)C2=O)ccc1OCC(=O)[O-],0.46,28
[1*]c1cc(N2NC(=O)/C(=C/c3ccc(OCC(=O)[O-])c(OC)c3)C2=O)ccc1Cl,0.46,29
[1*]c1nccc(-c2cccc(F)c2)n1,0.45999999999999996,14
[1*]c1cccc(C(=O)Nc2sc3c(c2C#N)CCCCCC3)c1,0.45,23
[1*]c1c(NC(=O)c2cccc(C#N)c2)sc2c1CCCCCC2,0.45,23
[1*]c1ccc(Nc2cc(-c3cccnc3)ncn2)cc1,0.43,20
[1*]c1ccnc(N[C@H]2CO[C@H]3[C@@H]2OC[C@H]3OC(=O)Nc2cccc(C#N)c2)n1,0.43,28
[1*]C(=O)c1ccc(Nc2cc(-c3cccnc3)ncn2)cc1,0.43,22
[1*]Nc1cc(-c2cccc(F)c2)ncn1,0.43,15
[1*]C(=O)c1ccc(Nc2cc(-c3cccc(F)c3)ncn2)cc1,0.43,23
[1*]N[C@H]1CO[C@H]2[C@@H]1OC[C@H]2OC(=O)Nc1cccc(C#N)c1,0.43,22
[1*]Nc1ccc(C(=O)NC[C@@H]2CCCO2)cc1,0.43,17
[1*]c1nnc(NC(=O)Cc2cccc3ccccc23)o1,0.43,20
[1*]c1cccc(NC(=O)O[C@@H]2CO[C@H]3[C@@H]2OC[C@@H]3Nc2nccc(-c3cccc(F)c3)n2)c1,0.43,33
[1*]c1cc(Nc2ccc(C(=O)[O-])cc2)ncn1,0.43,17
[1*]c1ccc(/C=C2\SC(=O)NC2=O)c(F)c1,0.43,16
[1*]c1cc(/C=C2\C(=O)NN(c3ccc(Cl)c(Cl)c3)C2=O)cc(Cl)c1OCC=C,0.42,28
[1*]/C=C1/C(=O)NN(c2ccc(C)c(Cl)c2)C1=O,0.42,17
[1*]C(=O)N[C@H]1CO[C@H]2[C@@H]1OC[C@@H]2Nc1nccc(-c2ccc3c(c2)OCO3)n1,0.42,28
[1*]c1cccc(/C=C2/C(=O)NN(c3ccc(C)c(Cl)c3)C2=O)c1,0.42,23
[1*]Nc1nccc(-c2ccc3c(c2)OCO3)n1,0.42,17
[1*][C@H]1CO[C@H]2[C@@H]1OC[C@@H]2NC(C)=O,0.42,13
[1*]/C=C1\C(=O)NN(c2ccc(Cl)c(Cl)c2)C1=O,0.42,17
[1*]c1cc(Cl)c(OCC=C)c(OC)c1,0.42,14
[1*]CC1CCC(Nc2ncc([N+](=O)[O-])c(N)n2)CC1,0.42,19
[1*]C1CCC(Nc2ncc([N+](=O)[O-])c(N)n2)CC1,0.42,18
[1*][N+](=O)c1cnc(NC2CCC(CC)CC2)nc1N,0.42,19
[1*]c1cn[nH]c1NC(=O)Cc1cccc2ccccc12,0.42,20
[1*]CC(=O)Nc1[nH]ncc1C(N)=O,0.42,13
[1*][C@@H](Oc1ccc(C=C(C#N)C#N)cc1)C(=O)[O-],0.41,18
[1*]c1ccc(Cl)c(-c2ccc(/C=C3\SC(=O)NC3=O)o2)c1,0.41,21
[1*][N+](=O)/C=C/c1ccc2c(c1)CCCO2,0.41,15
[1*]c1ccc(/C=C2\SC(=O)NC2=O)o1,0.41,14
[1*]CC(=O)Nc1ccc(C(=O)Nc2nccs2)cc1,0.41,19
[1*][C@@H](C)Oc1ccc(C=C(C#N)C#N)cc1,0.41,16
[1*]c1ccsc1NC(=O)c1ccc(S(=O)(=O)N2CCc3ccccc32)cc1,0.4,27
