frag,score,size
[1*][C@@H]1CC[C@@H](C)C[C@H]1[NH3+],0.324257393351111,9
[1*]C(C)[C@@H]1CC[C@@H](C)C[C@H]1[NH3+],0.324257393351111,11
[1*][C@H]1CC[C@@H](C(C)C)[C@H](C(C)=O)C1,0.3095695936834451,13
[1*][C@@H]1CC[C@H](C)C[C@H]1C(C)=O,0.3095695936834451,11
[1*][C@H]1CC[C@H](C(C)C)[C@H](C(=O)Cl)C1,0.3095695936834451,13
[1*][C@H]1CC[C@@H](C)C[C@@H]1OC=O,0.3029785617319807,11
[1*]O[C@H]1C[C@H](C)CC[C@@H]1C(C)C,0.3029785617319807,12
[1*][C@@H]1CC[C@H](C(C)C)[C@@H](OC=O)C1,0.3029785617319807,13
[1*]C(C)[C@H]1CC[C@H](C)C[C@@H]1OC=O,0.3029785617319807,13
[1*][C@H]1CC[C@H](C(C)C)[C@@H](OC=O)C1,0.3029785617319807,13
[1*][C@@]12CC[C@@H](C[C@H]1[NH3+])C2(C)C,0.2939083425511059,11
[1*]C1(C)[C@H]2CC[C@]1(C)[C@H]([NH3+])C2,0.2939083425511059,11
[1*][C@@H]1CC[C@H]([C@@H](C)Cl)[C@H](C)C1,0.2901905000440047,11
[1*][C@@H](Cl)[C@H]1CC[C@@H](C)C[C@H]1C,0.2901905000440047,11
[1*][C@@H](O)[C@@H]1C[C@@H](C)CC[C@@H]1C,0.2901905000440047,11
[1*][C@H]1CC[C@H](C)[C@H]([C@@H](C)O)C1,0.2901905000440047,11
[1*][C@@H]1C[C@H](C)CC[C@@H]1[C@@H](C)Cl,0.2901905000440047,11
[1*]C(C)[C@@H]1CC[C@@H](C)C[C@H]1OCCl,0.2830889839296112,13
[1*]O[C@@H]1C[C@H](C)CC[C@H]1C(C)C,0.2830889839296112,12
[1*]C1(C)C(=O)[C@]2(C)CC[C@H]1C2,0.2791929761808451,11
[1*]C1(C)C([NH2+][C@@H]2CCC[C@H]2O)C1(C)C,0.2745098039215686,14
[1*][C@@H]1CCC[C@H]1[NH2+]C1C(C)(C)C1(C)C,0.2745098039215686,14
