frag,score,size
[1*][C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)c(C)cc4[C@H]3CC[C@@]21C,0.8859357696566998,22
[1*][C@]12CC[C@@H]3c4cc(C)c(O)cc4CC[C@H]3[C@@H]1CC[C@@]2(O)C#C,0.8859357696566998,23
[1*][C@@]1(C#C)CC[C@H]2[C@@H]3CCc4cc(O)c(C)cc4[C@H]3CC[C@@]21C,0.8859357696566998,23
[1*]c1cc(OC)cc2c1[C@@H]1CC[C@@]3(C)[C@@H](CC[C@]3(C)O)[C@@H]1CC2,0.8241639697950377,23
[1*][C@]12CC[C@H]3c4c(C)cc(OC)cc4CC[C@H]3[C@@H]1CC[C@]2(C)O,0.8241639697950377,23
[1*][C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)cc(C)c4[C@@H]3CC[C@@]21C,0.8241639697950377,23
[1*]c1ccc2c(c1)CC[C@H]1[C@H]3CC[C@@H](O)[C@@]3(C)CC[C@@H]21,0.7132867132867133,20
[1*][C@]12CC[C@H]3c4ccc(O)cc4CC[C@H]3[C@H]1CC[C@H]2O,0.7132867132867133,20
[1*][C@]1(C#C)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3CC[C@]21C,0.6813880126182965,22
[1*][C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3CC[C@]21C,0.6813880126182965,21
[1*]c1ccc2c(c1)CC[C@H]1[C@H]3CCC[C@@]3(C)CC[C@@H]21,0.6738351254480286,19
[1*][C@@]12CCC[C@@H]1[C@@H]1CCc3cc(O)ccc3[C@@H]1CC2,0.6738351254480286,19
[1*][C@@H]1CC[C@@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@H]3CC[C@]12C,0.6472491909385113,21
[1*][C@]12C=CC(=O)C=C1CC[C@H]1[C@H]3CC[C@@H](O)[C@@]3(C)CC[C@H]12,0.6472491909385113,21
[1*][C@@]1(C#C)CC[C@H]2[C@@H]3CCC4=C(CCC(=O)C4)[C@@H]3CC[C@@]21C,0.6378600823045267,22
[1*][C@]1(O)CC[C@H]2[C@@H]3CCC4=C(CCC(=O)C4)[C@@H]3CC[C@@]21C,0.6378600823045267,21
[1*][C@]12CC[C@H]3C4=C(CC[C@H]3[C@@H]1CC[C@@]2(O)C#C)CC(=O)CC4,0.6378600823045267,22
[1*][C@]1(O)CC[C@@H]2[C@H]3CCC4=CCCC[C@H]4[C@@H]3CC[C@]21C,0.6157112526539278,20
[1*][C@@]12CC[C@@H]3[C@H](CCC4=CCCC[C@H]43)[C@H]1CC[C@@]2(O)C#C,0.6157112526539278,21
[1*]c1ccc2c(c1)CC[C@H]1[C@H]2CC[C@]2(C)/C(=N/NC)CC[C@@H]12,0.5997973657548126,22
[1*][C@]12CC[C@H]3c4ccc(O)cc4CC[C@@H]3[C@@H]1CC/C2=N\NC,0.5997973657548126,22
[1*][C@@]1(C#C)CC[C@H]2[C@H]3CCC4=CC(=O)CC[C@H]4[C@H]3CC[C@@]21CC,0.5917387127761767,23
[1*]C[C@]12CC[C@H]3[C@H](CCC4=CC(=O)CC[C@H]43)[C@@H]1CC[C@@]2(O)C#C,0.5917387127761767,23
[1*][C@]12CC[C@H]3[C@H](CCC4=CC(=O)CC[C@H]43)[C@@H]1CC[C@@]2(O)C#C,0.5917387127761767,22
[1*][C@@H]1CC[C@]2(C)C(=CC[C@@H]3[C@H]2CC[C@@]2(C)[C@H]3CC[C@@]2(O)C#C)C1,0.5792630676949443,23
[1*][C@]12CC[C@@H]3[C@@H](CC=C4C[C@H](OC(C)=O)CC[C@]43C)[C@@H]1CC[C@@]2(O)C#C,0.5792630676949443,26
[1*][C@@]1(C#C)CC[C@H]2[C@@H]3CC=C4C[C@H](OC(C)=O)CC[C@@]4(C)[C@@H]3CC[C@@]21C,0.5792630676949443,26
[1*][C@@]12CC[C@H]3c4cc(Br)c(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,0.5791666666666666,21
[1*]c1cc2c(cc1O)CC[C@@H]1[C@H]2CC[C@@]2(C)[C@@H](O)CC[C@@H]12,0.5791666666666666,21
[1*][C@H]1CC[C@H]2[C@@H]3CCc4cc(O)c(Br)cc4[C@@H]3CC[C@@]12C,0.5791666666666666,21
[1*]Oc1ccc2c(c1)CC[C@H]1[C@@H]2CC[C@]2(C)C(=O)[C@H](Br)C[C@H]12,0.5666666666666667,22
[1*]C(=O)Oc1ccc2c(c1)CC[C@H]1[C@@H]2CC[C@]2(C)C(=O)[C@H](Br)C[C@H]12,0.5666666666666667,24
[1*][C@]12CC[C@@H]3c4ccc(OC(C)=O)cc4CC[C@@H]3[C@H]1C[C@@H](Br)C2=O,0.5666666666666667,24
[1*][C@@]1([C@@H]2CC[C@H](C)[C@@H](C)C2)CCc2ccc(OC)cc21,0.5548387096774193,20
[1*]c1ccc2c(c1)[C@](O)([C@@H]1CC[C@H](C)[C@@H](C)C1)CC2,0.5548387096774193,19
[1*][C@H]1CCc2ccc(OC)cc2[C@@H]1O,0.5497435897435897,14
[1*]Oc1ccc2c(c1)[C@H](O)[C@@H]([NH+]1CCCC(C)(C)C1)CC2,0.5497435897435897,21
[1*]C1(C)CCC[NH+]([C@H]2CCc3ccc(OC)cc3[C@@H]2O)C1,0.5497435897435897,21
[1*][C@@]12C=CC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@]2(C)O,0.5439672801635991,21
