frag,score,size
[1*]C[C@H]1NC(=O)N(CC(=O)Nc2cc3oc4ccccc4c3cc2OC)C1=O,0.8288042708674448,28
[1*]c1cc2c(cc1NC(=O)CN1C(=O)N[C@H](CC3=c4ccccc4=[NH+]C3)C1=O)oc1ccccc12,0.8288042708674448,35
[1*]C[C@H](C[NH+]1CCN(c2ccccn2)CC1)C(=O)[O-],0.8279263263631186,19
[1*]C(=O)C[C@H](C[NH+]1CCN(c2ccccn2)CC1)C(=O)[O-],0.8279263263631186,21
[1*][C@@H](CC(=O)Nc1cccc2ncccc12)C(=O)[O-],0.8279263263631186,19
[1*]N(C)c1ccc(NC(=O)Cn2c(=O)[nH]c(=O)c3ccccc32)cn1,0.824709576294067,25
[1*]N(C)c1nc(N)nc(CN2C[C@@H](C)C(=O)Nc3ccccc32)n1,0.8160655376735687,24
[1*]NC(=O)Cn1c(=O)c2c(N3CCN(C(C)=O)CC3)ccnc2n(C)c1=O,0.8142880224789864,27
[1*]C(=O)Cn1c(=O)c2c(N3CCN(C(C)=O)CC3)ccnc2n(C)c1=O,0.8142880224789864,26
[1*]c1ccnc2c1c(=O)n(CC(=O)Nc1ccccc1F)c(=O)n2C,0.8142880224789864,25
[1*]n1c(SCC(=O)Nc2ccc(C(=O)[O-])cc2)nc2ccccc2c1=O,0.8138740140526037,26
[1*]C(=O)CCS(=O)(=O)c1ccc2c(c1)n(C)c(=O)c(=O)n2C,0.8117856983154347,22
[1*]NC(=O)CCS(=O)(=O)c1ccc2c(c1)n(C)c(=O)c(=O)n2C,0.8117856983154347,23
[1*]C(=O)c1cc(-c2ccc(NC(=O)C[C@@H]3COCC[NH2+]3)cc2)nc2ccccc12,0.8116847011099912,29
[1*]c1cc(-c2ccc(NC(=O)C[C@@H]3COCC[NH2+]3)cc2)nc2ccccc12,0.8116847011099912,27
[1*]c1nc(N)nc([C@@H](C)N(C)CC(=O)Nc2cccc(C#C)c2)n1,0.8092641124986739,24
[1*][C@H](c1nc(N)nc(N(C)C)n1)N(C)CC(=O)Nc1cccc(C#C)c1,0.8092641124986739,26
[1*]Oc1c(NC(=O)N2CC[NH+](Cc3nnnn3-c3cccc(F)c3)CC2)cccc1OC,0.807516317837265,32
[1*]n1nnnc1C[NH+]1CCN(C(=O)Nc2cccc(OC)c2OC)CC1,0.807516317837265,26
[1*]C[NH+]1CCN(C(=O)Nc2cccc(OC)c2OC)CC1,0.807516317837265,21
[1*]C[C@@H](c1ccco1)N1CCc2ccccc2C1,0.8074157792118414,18
[1*][C@H](CNC(=O)Cn1cnc2c1c(=O)n(C)c(=O)n2C)N1CCc2ccccc2C1,0.8074157792118414,30
[1*]CC(=O)NC[C@@H](c1ccco1)N1CCc2ccccc2C1,0.8074157792118414,22
[1*]CC(=O)NNC(=O)c1cn(C)c2ccccc12,0.8063029851414365,18
[1*][C@H]1CO[C@H]2[C@@H]1OC[C@@H]2NC(C)=O,0.8063029851414365,13
[1*]CC(=O)NCC(=O)NNC(=O)c1cn(C)c2ccccc12,0.8063029851414365,22
[1*]Nc1nccc(-c2ccc3c(c2)OCO3)n1,0.8063029851414365,17
[1*]C(=O)CNC(=O)CNC(=O)c1cccs1,0.8063029851414365,16
