frag,score,size
[1*]C(C)n1cc(NC(=O)[C@H]2C[C@@H]3CCCC[C@@H]3N2C(=O)c2ccccc2)cn1,0.5595028849441883,28
[1*]NC(=O)[C@H]1C[C@@H]2CCCC[C@@H]2N1C(=O)c1ccccc1,0.5595028849441883,21
[1*]N1[C@@H](C(=O)Nc2cnn(C(C)C)c2)C[C@@H]2CCCC[C@@H]21,0.5595028849441883,21
[1*]C(=O)N1[C@H](C(=O)OCc2cc(C)no2)C[C@@H]2CCCC[C@@H]21,0.5492942180025514,22
[1*]N1[C@H](C(=O)OCc2cc(C)no2)C[C@@H]2CCCC[C@@H]21,0.5492942180025514,20
[1*][C@H]1C[C@@H]2CCCC[C@@H]2N1C(=O)c1cc2cccc([N+](=O)[O-])c2[n-]1,0.5485298130021854,24
[1*]N1[C@@H](C(=O)OC)C[C@@H]2CCCC[C@@H]21,0.5485298130021854,14
[1*]C(=O)[C@H]1C[C@@H]2CCCC[C@@H]2N1C(=O)c1cc2cccc([N+](=O)[O-])c2[n-]1,0.5485298130021854,26
[1*]OC(=O)[C@@H]1C[C@H]2CCCC[C@@H]2N1C(=O)c1cnc(-c2cccs2)s1,0.5477225575051662,25
[1*]C(=O)[C@@H]1C[C@H]2CCCC[C@@H]2N1C(=O)c1cnc(-c2cccs2)s1,0.5477225575051662,24
[1*]OC(=O)[C@H]1C[C@H]2CCCC[C@H]2N1C(=O)c1ccc(-c2nc(C)no2)cc1,0.5461186812727502,27
[1*]n1cc(CC(=O)N2[C@@H](C(=O)OC)C[C@@H]3CCCC[C@@H]32)cn1,0.5437390678561211,22
[1*]C(=O)[C@H]1C[C@@H]2CCCC[C@@H]2N1C(=O)Cc1cnn(-c2ccccc2)c1,0.5437390678561211,26
[1*]CC(=O)N1[C@@H](C(=O)OC)C[C@@H]2CCCC[C@@H]21,0.5437390678561211,17
[1*]CNC(=O)[C@H]1C[C@@H]2CCCC[C@H]2N1C(=O)c1ccccc1,0.5312796481290517,22
[1*]N1[C@@H](C(=O)NCCCNc2ccccc2)C[C@@H]2CCCC[C@H]21,0.5312796481290517,23
[1*]CCCNC(=O)[C@H]1C[C@@H]2CCCC[C@H]2N1C(=O)c1ccccc1,0.5312796481290517,24
[1*]c1cnn2c(C)c(CCC(=O)N3[C@H](C)C[C@@H]4CCCC[C@@H]43)c(C)nc12,0.5169539431229293,26
[1*]c1nc2c(C#N)cnn2c(C)c1CCC(=O)N1[C@H](C)C[C@@H]2CCCC[C@@H]21,0.5169539431229293,27
[1*]C(=O)N1[C@@H](C(=O)NC2CCN(C(=O)c3ccc(C)cc3)CC2)C[C@H]2CCCC[C@@H]21,0.5144957554275266,30
[1*]COC(=O)NC(=O)CSc1nc2sc(C)c(C)c2c(=O)n1C1CCCC1,0.5085476277156078,27
[1*]SCC(=O)NC(=O)OCC,0.5085476277156078,11
[1*]C(=O)CSc1nc2sc(C)c(C)c2c(=O)n1C1CCCC1,0.5085476277156078,22
[1*][C@H](C)C(=O)N[C@@H](CCC)c1nnc2ccccn12,0.5,19
[1*][C@H](NC(=O)[C@@H](C)CC1CCCC1)c1nnc2ccccn12,0.5,22
[1*][C@H](CCC)NC(=O)[C@@H](C)CC1CCCC1,0.5,16
[1*]n1c(=O)[nH]c2cc(C(=O)N(CC(=O)OCC)C3CCCC3)ccc21,0.4977826941743446,25
[1*]OC(=O)CN(C(=O)c1ccc2c(c1)[nH]c(=O)n2C)C1CCCC1,0.4977826941743446,24
[1*][C@@H]1C[C@@H]2CCCC[C@@H]2N1C(=O)Nc1nc(-c2cccnc2)cs1,0.4977826941743446,24
