frag,score,size
[1*]N1N=CC2=N[C@H](c3ccc(-c4ccccn4)cc3)N[C@@H]21,0.948442042791664,21
[1*]c1ccc([C@H]2N=C3C=NN(C(C)C)[C@H]3N2)cc1,0.948442042791664,18
[1*]C(C)N1N=CC2=N[C@H](c3ccc(-c4ccccn4)cc3)N[C@@H]21,0.948442042791664,23
[1*]Oc1ccc2c(c1)[C@H]([NH3+])[C@@H](Sc1ccc(Cl)cn1)C2,0.9483312933817938,20
[1*]S[C@H]1Cc2ccc(OC)cc2[C@@H]1[NH3+],0.9483312933817938,14
[1*]C(=O)c1cnc(NCC)s1,0.9481140342271522,11
[1*]c1ccc2c(c1)CCN(C(=O)c1cnc(NCC)s1)C2,0.9481140342271522,21
[1*]c1ccc(F)c(NC(=O)c2ccc(S(C)(=O)=O)cc2)c1,0.948099663801346,21
[1*]c1sc(C(=O)NCc2ccon2)cc1C,0.9480940037247508,16
[1*]c1ccc([C@@H](CO)[C@@H]2CS(=O)(=O)c3ccccc32)cc1,0.9480513124841776,21
[1*][C@@H](CO)[C@@H]1CS(=O)(=O)c2ccccc21,0.9480513124841776,15
[1*][C@H](CO)c1ccc(C)cc1,0.9480513124841776,11
[1*]c1c(NC[C@H]2CCCc3ccccc32)cnn(C)c1=O,0.948047686057776,21
[1*]NC[C@H]1CCCc2ccccc21,0.948047686057776,13
[1*]C1=NO[C@@H](C(=O)Nc2ncc(C)s2)C1,0.9480328651310832,15
[1*]c1cccc(C2=NO[C@@H](C(=O)Nc3ncc(C)s3)C2)c1,0.9480328651310832,21
[1*]n1nc(C)cc1NC(=O)C1=CCCCO1,0.947982460529308,16
[1*]c1ccccc1-n1nc(C)cc1NC(=O)C1=CCCCO1,0.947982460529308,22
[1*]n1cc(C(=O)Nc2cc(C)c(Cl)cc2OC)ccc1=O,0.9479467987549628,21
[1*]c1cccc([C@@H](C)NC(=O)[C@H]2COc3ccccc3C2)c1,0.9479407742443752,22
[1*]n1c(C)cc(C(=O)NC2CC2)c1C,0.9479361357707048,14
[1*]NC(=O)c1cc(C)n(-c2ccc3c(c2)OCCO3)c1C,0.9479361357707048,21
[1*]C(=O)[C@H]1CC(=O)N(c2cc(C)ccc2C)C1,0.9479255758312826,17
[1*]N1C[C@@H](C(=O)Nc2cccnc2)CC1=O,0.9479255758312826,16
[1*]N(Cc1ccco1)C(=O)c1cc(Br)ccc1O,0.947889969149863,18
[1*]CN(C)C(=O)c1cc(Br)ccc1O,0.947889969149863,14
[1*]C(C)(C)[NH2+]Cc1cnc(-c2ncc(Cl)cc2Cl)nc1,0.9478788735657806,20
[1*]c1ncc(C[NH2+]C(C)(C)C)cn1,0.9478788735657806,13
[1*]c1cc(Cl)cnc1-c1ncc(C[NH2+]C(C)(C)C)cn1,0.9478788735657806,20
[1*][C@H]1OCC[C@H]1C(=O)Nc1cc(-c2ccccc2C)nn1C,0.947842438375424,22
[1*][C@H](C)NC(=O)[C@H]1COc2ccc(F)cc2C1,0.9478246730963598,17
[1*]c1ccc2c(c1)C[C@@H](C(=O)N[C@@H](C)c1ccncc1)CO2,0.9478246730963598,22
[1*][C@H](NC(=O)[C@H]1COc2ccc(F)cc2C1)c1ccncc1,0.9478246730963598,22
[1*]S(=O)(=O)c1cccc(C(=O)Nc2ccc(Cl)cc2)c1,0.9476815174531974,20
[1*]c1cc(C(=O)N[C@H]2CCN(c3ccccc3)C2=O)ccc1C,0.9476409065313296,23
[1*]N1CC[C@H](NC(=O)c2ccc(C)c(C)c2)C1=O,0.9476409065313296,18
[1*]c1ccc2c(c1)OC[C@@H]2[NH3+],0.9476022342181876,11
[1*]C(C)n1nccc1C(=O)N1CCCC[C@@H]1c1n[nH]cc1C,0.947593299406381,22
[1*]C(=O)N1CCCC[C@@H]1c1n[nH]cc1C,0.947593299406381,15
[1*]NC(=O)c1cccc(C(=O)N(C)C)c1,0.9475847240473936,15
[1*]C(=O)c1cccc(C(=O)Nc2ccc(F)cc2F)c1,0.9475847240473936,20
[1*][C@@H]1CC[C@@H](NC(=O)c2ccc(-n3ccnn3)cc2)[C@H](C)C1,0.947574397614671,22
[1*]c1ccc(C(=O)N[C@@H]2CC[C@@H](C)C[C@H]2C)cc1,0.947574397614671,18
[1*]c1ccc(F)c(CNC(=O)[C@H]2Cc3ccccc3S2)c1,0.947571041627201,21
[1*]C(=O)[C@H]1CCCCN1C(=O)c1cccc(-c2ccoc2)c1,0.94755400195479,22
[1*]c1cccnc1NC(=O)[C@@H]1CC(=O)N(C)[C@@H]1c1ccccc1,0.9475055426467456,23
