frag,score,size
[1*]Nc1ccc(OC)c(S(=O)(=O)[N-]c2ccccc2Cl)c1,0.5861130563398868,21
[1*]C(=O)Nc1ccc(OC)c(S(=O)(=O)[N-]c2ccccc2Cl)c1,0.5861130563398868,23
[1*]c1ccc(NC(=O)C2(c3cccc(F)c3)CCC2)cc1S(=O)(=O)[N-]c1ccccc1Cl,0.5861130563398868,32
[1*][N+](=O)c1cc([C@@H]2Nc3c(C(=O)NC4CCCCC4)cccc3[C@@H]3C=CC[C@H]32)ccc1Cl,0.5777653887709047,32
[1*]C1=Nc2c(c(C)nn2-c2ccc(OC)cc2)[C@@H](c2ccc(OCc3ccccc3F)c(OC)c2)C1,0.569908033330181,36
[1*]c1ccc(-n2nc(C)c3c2N=C(O)C[C@@H]3c2ccc(OCc3ccccc3F)c(OC)c2)cc1,0.569908033330181,35
[1*][C@H]1CC(O)=Nc2c1c(C)nn2-c1ccc(OC)cc1,0.569908033330181,20
[1*]NC(=O)CSc1nc(C2CCCCC2)nc2sc(C)c(C)c12,0.5580256739673609,23
[1*]c1ccc(NC(=O)CSc2nc(C3CCCCC3)nc3sc(C)c(C)c23)cc1,0.5580256739673609,29
[1*]Sc1nc(C2CCCCC2)nc2sc(C)c(C)c12,0.5580256739673609,19
[1*]C(C)n1ncc2c(C(=O)N[C@H](C)c3ccc(NC(=O)c4ccc(F)cc4)cc3)cc(C3CC3)nc21,0.5544795350793194,36
[1*]C(=O)Nc1nc2c(s1)CCC[C@H]2C(=O)Nc1cccc2nc(C)ccc12,0.5531448419002398,27
[1*][C@@H]1CCCc2sc(NC(=O)c3ccc(Cl)cc3)nc21,0.5531448419002398,20
[1*]c1csc(NC(=O)c2c(-c3c(F)cccc3Cl)noc2C)n1,0.5526535973348968,23
[1*]c1onc(-c2c(F)cccc2Cl)c1C(=O)Nc1nc(-c2ccccc2C(=O)OCC)cs1,0.5526535973348968,33
[1*]c1noc(C)c1C(=O)Nc1nc(-c2ccccc2C(=O)OCC)cs1,0.5526535973348968,26
[1*]c1cc(NC(=O)c2cc(C3CC3)nc3c2cnn3C(C)C)ccc1Cl,0.5469890844752772,26
[1*]C(=O)c1cc(NC(=O)c2cc(C3CC3)nc3c2cnn3C(C)C)ccc1Cl,0.5469890844752772,28
[1*]CCCC1=NN2C(=N)/C(=C/c3ccc(-c4cc(Cl)ccc4Cl)o3)C(=O)N=C2S1,0.546791252135009,29
[1*]CC1=NN2C(=N)/C(=C/c3ccc(-c4cc(Cl)ccc4Cl)o3)C(=O)N=C2S1,0.546791252135009,27
[1*]c1ccc(Cl)c(-c2ccc(/C=C3/C(=N)N4N=C(CCCCC)SC4=NC3=O)o2)c1,0.546791252135009,30
[1*]NC(=O)CSC1=C(C#N)[C@@H](c2ccc(Cl)cc2)[C@H]2C(=O)CCCC2=N1,0.5405697405427,26
[1*][C@@H]1C(C#N)=C(SCC(=O)Nc2c(C)cccc2C)N=C2CCCC(=O)[C@@H]21,0.5405697405427,27
[1*]c1cccc(C)c1NC(=O)CSC1=C(C#N)[C@@H](c2ccc(Cl)cc2)[C@H]2C(=O)CCCC2=N1,0.5405697405427,33
[1*]c1nc2cc(C(=O)N3CCC(CC(=O)NCc4ccccc4F)CC3)ccc2o1,0.5401664923274416,30
[1*]N1CCC(CC(=O)NCc2ccccc2F)CC1,0.5401664923274416,19
[1*]CNC(=O)CC1CCN(C(=O)c2ccc3oc(-c4ccc(C)cc4)nc3c2)CC1,0.5401664923274416,30
[1*]C(=O)c1ccc2oc(-c3ccc(C)cc3)nc2c1,0.5401664923274416,19
[1*]C(=O)COc1ccc(-c2cc(OC)c3c(C)oc(C)c3c(=O)c2)cc1OC,0.5374682377843922,28
[1*]c1[nH]c2ccccc2c1C(=O)COc1ccc(-c2cc(OC)c3c(C)oc(C)c3c(=O)c2)cc1OC,0.5374682377843922,37
[1*]c1oc(C)c2c(=O)cc(-c3ccc(OCC(=O)c4c(C)[nH]c5ccccc45)c(OC)c3)cc(OC)c12,0.5374682377843922,37
[1*]c1[nH]c2ccc(F)cc2c1CCCC(=O)Nc1cccc(OC)c1,0.5369844190463016,25
[1*]Oc1cccc(NC(=O)CCCc2c(-c3ccc4ccccc4n3)[nH]c3ccc(F)cc23)c1,0.5369844190463016,34
[1*]c1cccc(NC(=O)CCCc2c(-c3ccc4ccccc4n3)[nH]c3ccc(F)cc23)c1,0.5369844190463016,33
[1*]C(=O)c1sc2nc(C)c(C(=O)Nc3ccc(C)cc3C)c(-c3ccc(C)o3)c2c1N,0.536243160576537,31
[1*]c1sc2nc(C)c(C(=O)Nc3ccc(C)cc3C)c(-c3ccc(C)o3)c2c1N,0.536243160576537,29
[1*]c1cc(C)ccc1NC(=O)c1c(C)nc2sc(C(=O)N3CCCC3)c(N)c2c1-c1ccc(C)o1,0.536243160576537,35
[1*][C@@H](C)NC(=O)c1cc(NC(=O)Nc2c(C)cccc2C)ccc1N1CCCC1,0.5360471147319849,29
[1*]NC(=O)c1cc(NC(=O)Nc2c(C)cccc2C)ccc1N1CCCC1,0.5360471147319849,27
[1*][C@@H](NC(=O)c1cc(NC(=O)Nc2c(C)cccc2C)ccc1N1CCCC1)c1ccccc1,0.5360471147319849,34
[1*]c1ccc(C)c(NC(=O)CSC2=C(C#N)[C@H](c3ccccc3OCC)[C@H]3C(=O)CCCC3=N2)c1,0.5357102952053175,35
[1*]CSC1=C(C#N)[C@H](c2ccccc2OCC)[C@H]2C(=O)CCCC2=N1,0.5357102952053175,25
[1*]NC(=O)CSC1=C(C#N)[C@H](c2ccccc2OCC)[C@H]2C(=O)CCCC2=N1,0.5357102952053175,28
[1*]NC(=O)CSc1nnc(CCCOc2ccc(Cl)cc2Cl)o1,0.5353893506448625,23
[1*]c1nnc(SCC(=O)Nc2c(C)cc(C)cc2C)o1,0.5353893506448625,20
[1*]CCCc1nnc(SCC(=O)Nc2c(C)cc(C)cc2C)o1,0.5353893506448625,23
[1*]C(C)c1ccc(-n2c(C)cc(/C=C3/C(=N)N4N=C(C5CCCCC5)SC4=NC3=O)c2C)cc1,0.5323256835728246,34
[1*]n1c(C)cc(/C=C2/C(=N)N3N=C(C4CCCCC4)SC3=NC2=O)c1C,0.5323256835728246,26
[1*]c1c(/C=C2/C(=N)N3N=C(C4CCCCC4)SC3=NC2=O)cc(C)n1-c1ccc(C(C)C)cc1,0.5323256835728246,34
[1*]N1C(N)=C(C#N)[C@H](c2ccsc2SCC)C2=C1CC(C)(C)CC2=O,0.5312709684862351,25
[1*][N+](=O)c1ccc(C)c(N2C(N)=C(C#N)[C@H](c3ccsc3SCC)C3=C2CC(C)(C)CC3=O)c1,0.5312709684862351,34
[1*]C1=C(C#N)[C@H](c2ccsc2SCC)C2=C(CC(C)(C)CC2=O)N1c1cc([N+](=O)[O-])ccc1C,0.5312709684862351,34
[1*]c1cc(C)n(Cc2cccc(NC(=O)c3cc(C4CC4)nc4onc(-c5ccc(OC)cc5)c34)c2)n1,0.5282482680851344,37
[1*]c1noc2nc(C3CC3)cc(C(=O)Nc3cccc(Cn4nc(C)cc4C)c3)c12,0.5282482680851344,30
[1*]Oc1ccc(-c2noc3nc(C4CC4)cc(C(=O)Nc4cccc(Cn5nc(C)cc5C)c4)c23)cc1,0.5282482680851344,37
[1*]c1cccc([C@H]2c3c(oc4ccc(F)cc4c3=O)C(=O)N2c2nnc(CC)s2)c1,0.5245927437343741,30
[1*]N1C(=O)c2oc3ccc(F)cc3c(=O)c2[C@@H]1c1cccc(Oc2ccccc2)c1,0.5245927437343741,30
[1*]c1cc(NC(=O)c2cccc3c2N[C@H](c2cc([N+](=O)[O-])ccc2O)[C@@H]2CC=C[C@H]32)ccc1C,0.517928886090841,34
[1*][C@H]1Nc2c(C(=O)Nc3ccc(C)c(C)c3)cccc2[C@H]2C=CC[C@H]21,0.517928886090841,25
[1*]C(=O)c1cccc2c1N[C@H](c1cc([N+](=O)[O-])ccc1O)[C@@H]1CC=C[C@H]21,0.517928886090841,26
[1*]CCCCC1=NN2C(=N)/C(=C\c3cc(C)n(-c4ccc(C)cc4C)c3C)C(=O)N=C2S1,0.5165122984827164,32
[1*]c1cc(/C=C2\C(=N)N3N=C(CCCCCC)SC3=NC2=O)c(C)n1-c1ccc(C)cc1C,0.5165122984827164,33
[1*]c1ccc([C@H]2CC(=O)C3=C(C2)Nc2ccccc2N[C@@H]3c2coc3ccccc3c2=O)cc1OC,0.5157719678623693,36
[1*]c1cc([C@H]2CC(=O)C3=C(C2)Nc2ccccc2N[C@@H]3c2coc3ccccc3c2=O)ccc1OC,0.5157719678623693,36
[1*]Oc1cc([C@H]2CC(=O)C3=C(C2)Nc2ccccc2N[C@@H]3c2coc3ccccc3c2=O)ccc1OC,0.5157719678623693,37
[1*]COc1ccc(/C=C2\SC(=S)N(c3ccc([N+](=O)[O-])cc3)C2=O)cc1OC,0.5154336971938919,28
[1*]Oc1cc(/C=C2\SC(=S)N(c3ccc([N+](=O)[O-])cc3)C2=O)ccc1OCc1ccccc1F,0.5154336971938919,34
[1*]c1ccc(/C=C2\SC(=S)N(c3ccc([N+](=O)[O-])cc3)C2=O)cc1OC,0.5154336971938919,26
[1*]c1cccc(OCCCCC)c1,0.5150644194236338,13
[1*]Oc1cccc([C@@H]2c3c(oc4ccc(F)cc4c3=O)C(=O)N2c2cccc(C)n2)c1,0.5150644194236338,31
