frag,score,size
[1*]n1c(CCNc2ncnc3cc(F)c(F)cc23)nc2ccc(F)cc21,0.5261475514640072,26
[1*][C@H](C)CNc1cc(-n2ccnc2)ncn1,0.5242566510172143,16
[1*]c1cc(NC[C@@H](C)c2nc(-c3ccccc3)no2)ncn1,0.5242566510172143,22
[1*]c1c(Nc2ccc3c(c2)OCO3)ncnc1Nc1nc(C)c(C)s1,0.5240904621435595,25
[1*][N+](=O)c1c(Nc2ccc3c(c2)OCO3)ncnc1Nc1nc(C)c(C)s1,0.5240904621435595,27
[1*]Nc1ncnc(Nc2nc(C)c(C)s2)c1[N+](=O)[O-],0.5240904621435595,19
[1*]c1csc2ncnc(Nc3ccc4c(c3)OCCO4)c12,0.521792510742787,21
[1*]c1c(Nc2ccc(F)c(F)c2)ncnc1Nc1cccc(C)n1,0.520731554553426,24
[1*]CNc1ncc2c(=O)n(-c3cccc(C)c3C)c([O-])nc2n1,0.5164541590771099,23
[1*]c1cccc(-n2c([O-])nc3nc(NCc4ccc5c(c4)OCO5)ncc3c2=O)c1C,0.5164541590771099,31
[1*]c1cc(-n2ncc3c(Nc4ccc5c(c4)OCO5)ncnc32)ccc1C,0.5163701985047693,27
[1*]c1cc(Nc2ncnc(Oc3cccc4cccnc34)c2[N+](=O)[O-])ccc1F,0.5163110129997547,29
[1*][N+](=O)c1c(Nc2ccc(F)c(F)c2)ncnc1Oc1cccc2cccnc12,0.5163110129997547,29
[1*]c1cc(Nc2ncnc3c2cnn3-c2ccc(F)cc2)ccc1OC,0.51430781129157,26
[1*]Oc1cc(Nc2ncnc3c2cnn3-c2ccc(F)cc2)ccc1OC,0.51430781129157,27
[1*]c1cccc(-n2ncc3c(Nc4ccc5c(c4)OCCO5)ncnc32)c1,0.513672135520875,27
[1*]c1ncnc2c1cnn2-c1cccc(Cl)c1,0.513672135520875,17
[1*]C(C)(C)c1nn(C)cc1C(=O)Nc1cc(-c2nncn2C)ccn1,0.5127145183514968,25
[1*]n1cnnc1-c1ccnc(NC(=O)c2cn(C)nc2C(C)(C)C)c1,0.5127145183514968,25
[1*]c1ccnc(NC(=O)c2cn(C)nc2C(C)(C)C)c1,0.5127145183514968,20
[1*]c1cc2c(NCc3cccc(OC)c3OC)ncnc2s1,0.5120334342124225,22
[1*]Oc1cccc(CNc2ncnc3sc(-c4ccccc4)cc23)c1OC,0.5120334342124225,27
[1*]Oc1c(CNc2ncnc3sc(-c4ccccc4)cc23)cccc1OC,0.5120334342124225,27
[1*]c1cc(Nc2ccc3c(c2)OCCO3)ncn1,0.5116997792494481,18
[1*]Nc1ncnc(Nc2cc(C)ccn2)c1[N+](=O)[O-],0.5101721439749608,19
[1*]c1c(Nc2ccc(F)c(Cl)c2)ncnc1Nc1cc(C)ccn1,0.5101721439749608,24
[1*]c1cc(Nc2ncnc(Nc3cc(C)ccn3)c2[N+](=O)[O-])ccc1F,0.5101721439749608,26
[1*]C[C@@H](C)Nc1nc(C)nc2scc(-c3ccccc3)c12,0.5100271002710027,21
[1*]Nc1nc(C)nc2scc(-c3ccccc3)c12,0.5100271002710027,18
[1*]c1csc2nc(C)nc(N[C@H](C)Cn3cncn3)c12,0.5100271002710027,20
[1*]c1ccc(Nc2ncnc(Nc3ccccc3C(=O)OC)c2[N+](=O)[O-])cc1F,0.5098722415795587,29
[1*]c1c(Nc2ccc(F)c(F)c2)ncnc1Nc1ccccc1C(=O)OC,0.5098722415795587,27
[1*]Oc1ccc(Nc2ncnc3c2cnn3-c2cc(Cl)ccc2C)cc1OC,0.5080979284369115,28
[1*]Nc1ncnc2c1cnn2-c1cc(Cl)ccc1C,0.5080979284369115,19
[1*]c1nc(NCCn2nc(C)nc2C)c2ccsc2n1,0.5065725750657257,20
[1*]c1nc(C)nc2sccc12,0.5065725750657257,11
[1*]c1ccc2ncnc(Nc3ccc(OC)c(NC(C)=O)c3)c2c1,0.5060190950601909,24
[1*]C(=O)Nc1ccc(Nc2ncnc3ccc(C)cc23)cc1OC,0.5052148518982061,24
[1*]c1ccc(Nc2ncnc3ccc(C)cc23)cc1OC,0.5052148518982061,21
[1*]c1ccc2ncnc(Nc3ccc(NC(C)=O)c(OC)c3)c2c1,0.5052148518982061,24
[1*]c1ccc(-c2noc3ncnc(Nc4ccc5c(c4)OCCO5)c23)cc1,0.5049556598852374,27
[1*]c1ncnc2onc(-c3ccc(Cl)cc3)c12,0.5049556598852374,17
[1*][C@H](Nc1nc(C)nc2oc(C)nc12)c1ccccc1-n1cccn1,0.5042735042735043,25
