frag,score,size
[1*]C(F)(F)c1ccccc1NC(=O)C[NH+](C)CC(=O)Nc1ccc(Cl)cn1,0.4785643210660746,27
[1*][NH+](C)CC(=O)Nc1ccc(Cl)cn1,0.4785643210660746,14
[1*]C(=O)C(=O)N[C@@H](C)c1cn(C)nc1C,0.4784582417416688,15
[1*]c1nn(C)cc1[C@H](C)NC(=O)C(=O)Nc1ccc(F)c(F)c1F,0.4784582417416688,24
[1*][C@H](C)NC(=O)C(=O)Nc1ccc(F)c(F)c1F,0.4784582417416688,18
[1*]Oc1cc(CNC(=O)NCc2cccnc2)ccn1,0.4775801731244342,20
[1*]C(F)COc1cc(CNC(=O)NCc2cccnc2)ccn1,0.4775801731244342,23
[1*][C@]1(NC(=O)c2ccccc2F)NC(=O)N(CC(C)C)C1=O,0.4729607630932609,22
[1*]C(C)CN1C(=O)N[C@@](NC(=O)c2ccccc2F)(C(F)(F)F)C1=O,0.4729607630932609,25
[1*][C@@](NC(=O)c1ccc(F)cc1)(C(=O)OC)C(F)(F)F,0.4667873160803328,20
[1*]C(F)(F)[C@@](NC(=O)c1ccc(F)cc1)(Nc1[nH+]cccc1C)C(=O)OC,0.4667873160803328,27
[1*]c1ccccc1OC[C@@H](O)CN(C)C(=O)c1cnccn1,0.4650029167828823,22
[1*][C@H](COc1ccccc1C(F)(F)F)CN(C)C(=O)c1cnccn1,0.4650029167828823,25
[1*][C@H](O)COc1ccccc1C(F)(F)F,0.4650029167828823,15
[1*]Cc1ccccc1C(=O)Nc1cnn(CC(F)F)c1,0.4581068643234209,20
[1*]c1cncc(N[C@H]2CCCN(CC(F)(F)F)C2=O)n1,0.4578911086022628,20
[1*]C(F)(F)CN1CCC[C@H](Nc2cncc(-n3ccnc3C)n2)C1=O,0.4578911086022628,25
[1*]N[C@H]1CCCN(CC(F)(F)F)C1=O,0.4578911086022628,14
[1*]C(=O)NNC(=O)N[C@H]1CCN(CC(F)(F)F)C1,0.4454794924132173,18
[1*]CCNC(=O)Nc1cc(F)cc(F)c1,0.4454673068155368,15
[1*]CCCNC(=O)Nc1cc(F)cc(F)c1,0.4454673068155368,16
[1*]c1cc(F)cc(NC(=O)NCCCn2nc3ccccn3c2=O)c1,0.4454673068155368,25
[1*]CN(CCC(F)(F)F)C(=O)c1cnc2ccccn2c1=O,0.4360866552020082,22
[1*]CCN(CCC#N)C(=O)c1cnc2ccccn2c1=O,0.4360866552020082,21
[1*]n1ncnc1CCNC(=O)Nc1cccc(OCC(F)(F)F)c1,0.4296954054697704,24
[1*]C(F)(F)COc1cccc(NC(=O)NCCc2ncnn2C)c1,0.4296954054697704,24
[1*]c1cccc(NC(=O)NCCc2ncnn2C)c1,0.4296954054697704,19
[1*]Oc1ccc(CN(C)C(=O)C(=O)Nc2cc(C)nn2C)cc1,0.4286925236993287,23
[1*]NC(=O)C(=O)N(C)Cc1ccc(OC(F)F)cc1,0.4286925236993287,19
[1*]C(F)Oc1ccc(CN(C)C(=O)C(=O)Nc2cc(C)nn2C)cc1,0.4286925236993287,25
[1*]c1ccc(NC(C)=O)cc1C(F)(F)F,0.4211678256907557,15
[1*]NS(=O)(=O)Cc1ccccc1F,0.4203225582890168,13
[1*]n1cc(CNS(=O)(=O)Cc2ccccc2F)nn1,0.4203225582890168,19
[1*]CNS(=O)(=O)Cc1ccccc1F,0.4203225582890168,14
[1*]C(=O)c1cccc(OCc2nccn2C(F)F)c1,0.4194765128075865,19
[1*]NC(=O)c1cccc(OCc2nccn2C(F)F)c1,0.4194765128075865,20
[1*]C(F)n1ccnc1COc1cccc(C(=O)NC[C@H](C)O)c1,0.4194765128075865,23
[1*]c1ccc(-n2ncc(C(=O)NCCc3cn4ccccc4n3)n2)cc1,0.4182282418596216,26
[1*]C(=O)CN(C)C(=O)c1cc(OCC(F)(F)F)c2ccccc2n1,0.417107181468058,24
[1*]c1cc(OCC(F)(F)F)c2ccccc2n1,0.417107181468058,17
[1*]NC(=O)CN(C)C(=O)c1cc(OCC(F)(F)F)c2ccccc2n1,0.417107181468058,25
[1*]n1nccc1CNC(=O)NCc1ccc(OC)c(OC(F)F)c1,0.4148662859254979,24
[1*]Oc1ccc(CNC(=O)NCc2ccnn2C)cc1OC(F)F,0.4148662859254979,24
[1*]Oc1cccc(NC(=O)NCC(=O)NC2CC2)c1,0.4128315025241943,19
[1*]COc1cccc(NC(=O)NCC(=O)NC2CC2)c1,0.4128315025241943,20
[1*][C@H](NC(=O)c1cn(-c2ccc(F)cc2)nn1)c1ccccc1F,0.4096702454737606,24
[1*]CN1C(=O)N[C@](C)(c2cnn(C)c2)C1=O,0.4088622609838506,16
[1*][C@]1(c2cnn(C)c2)NC(=O)N(CCOc2ccc(F)cc2Cl)C1=O,0.4088622609838506,25
[1*][C@@]1(C)NC(=O)N(CCOc2ccc(F)cc2Cl)C1=O,0.4088622609838506,20
[1*][C@@H]1CCN(C(=O)[C@H](C)n2cncn2)C1,0.4056030217790639,15
[1*][C@@H](C(=O)N1CC[C@@H](Oc2ccc(C(F)(F)F)cn2)C1)n1cncn1,0.4056030217790639,25
[1*]S(=O)(=O)NC[C@@H]1CCCN(c2ncccn2)C1,0.404753209530765,18
[1*]c1cc(S(=O)(=O)NC[C@@H]2CCCN(c3ncccn3)C2)cc(F)c1F,0.404753209530765,26
[1*]c1cc(F)cc(C(=O)NCC(=O)Nc2cc(CCC)nn2C)c1,0.4029809314632365,24
[1*]c1nnn(CC(=O)N(C)CCOc2ccccc2F)n1,0.4021676233570028,21
[1*]CN(C)C(=O)Cn1nnc(-c2cccs2)n1,0.4021676233570028,17
[1*]C(F)(F)c1ccc(N2CCN(c3c([N+](=O)[O-])ncn3C)CC2)nc1,0.4010054291006517,25
[1*]c1ncn(C)c1N1CCN(c2ccc(C(F)(F)F)cn2)CC1,0.4010054291006517,23
[1*][C@@](C)(O)CC(=O)NNC(=O)CSc1ccc(C)cc1,0.3987597766389597,20
[1*]NC(=O)C[C@](C)(O)C(F)(F)F,0.3987597766389597,12
