frag,score,size
[1*]c1ccc(C)c(C(=O)NCCN(C)c2ccccc2)c1,0.4083333333333333,21
[1*]CCNC(=O)c1cc(S(=O)(=O)N2CCN(C)CC2)ccc1C,0.4083333333333333,23
[1*]N1CCN(S(=O)(=O)c2ccc(C)c(C(=O)NCCN(C)c3ccccc3)c2)CC1,0.4083333333333333,30
[1*]N(C)S(=O)(=O)c1ccc2c(c1)CCN2C(=O)CCCn1c(=O)oc2ccccc21,0.3852459016393442,30
[1*]c1ccc2c(c1)CCN2C(=O)CCCn1c(=O)oc2ccccc21,0.3852459016393442,25
[1*]S(=O)(=O)c1ccc2c(c1)CCN2C(=O)CCCn1c(=O)oc2ccccc21,0.3852459016393442,28
[1*]N(C)S(=O)(=O)c1ccc2c(c1)CCCN2C(=O)CN(C)c1ccccc1,0.3793103448275862,27
[1*]N(CC(=O)N1CCCc2cc(S(=O)(=O)N(C)C)ccc21)c1ccccc1,0.3793103448275862,27
[1*]N1CCCc2cc(S(=O)(=O)N(C)C)ccc21,0.3793103448275862,17
[1*]C(=O)c1cc(S(=O)(=O)N(C)C)ccc1N1CCCC1,0.3740458015267175,20
[1*]N(C)S(=O)(=O)c1ccc(N2CCCC2)c(C(=O)NCc2c(C)nn(-c3ccccc3)c2C)c1,0.3740458015267175,34
[1*]N(C)S(=O)(=O)c1ccc(N2CCCC2)c(C(=O)N(C)C[C@H]2CN(CC)c3ccccc3O2)c1,0.3740458015267175,34
[1*]CN(C)C(=O)c1cc(S(=O)(=O)N(C)C)ccc1N1CCCC1,0.3740458015267175,23
[1*]N1CCN(S(=O)(=O)c2ccc(N3c4ccccc4C[C@H]3C)nc2)CC1,0.3706896551724138,26
[1*]c1ccc(N2c3ccccc3C[C@H]2C)nc1,0.3706896551724138,17
[1*]N(C)S(=O)(=O)c1cccc(C(=O)N2CCCc3ccccc32)c1,0.3693693693693693,24
[1*]Oc1ccccc1NC(=O)c1cccc(S(=O)(=O)N2CCN(C)CC2)c1,0.3688524590163934,27
[1*]N1CCN(S(=O)(=O)c2cccc(C(=O)Nc3ccccc3OCCC)c2)CC1,0.3688524590163934,29
[1*]N1CCN(Cc2coc(-c3ccc(C)cc3C)n2)CC1,0.3658536585365853,21
[1*]c1ccc(-c2nc(CN3CCN(S(=O)(=O)c4ccccc4)CC3)co2)c(C)c1,0.3658536585365853,29
[1*]c1ccc(S(=O)(=O)NCCN2CCN(c3ccccc3)CC2)cc1,0.3652173913043478,25
[1*]N(C(=O)CN1CCN(S(=O)(=O)c2ccc(C)cc2)CC1)c1ccccc1,0.3644067796610169,27
[1*]N1CCN(CC(=O)N(C)c2ccccc2)CC1,0.3644067796610169,18
[1*]c1ccc(S(=O)(=O)N2CCN(CC(=O)N(C)c3ccccc3)CC2)cc1,0.3644067796610169,27
[1*]c1ccc(S(=O)(=O)N(CC(=O)N2CCN(C)CC2)c2cc(Cl)ccc2Cl)cc1,0.3636363636363636,29
[1*]N(c1cc(Cl)ccc1Cl)S(=O)(=O)c1ccc(C)cc1,0.3636363636363636,20
[1*]N1CCN(C(=O)c2cc(S(C)(=O)=O)ccc2Cl)CC1,0.3620689655172414,20
[1*]S(=O)(=O)c1ccc(Cl)c(C(=O)N2CCN(Cc3ccccc3)CC2)c1,0.3620689655172414,26
[1*]COc1cc(S(=O)(=O)N2CCN(Cc3ccccc3)CC2)ccc1Br,0.361344537815126,26
[1*]CCOc1cc(S(=O)(=O)N2CCN(Cc3ccccc3)CC2)ccc1Br,0.361344537815126,27
[1*]c1ccc(S(=O)(=O)N2CCN(Cc3ccccc3)CC2)cc1OCCC,0.361344537815126,27
[1*]N(C)S(=O)(=O)c1ccc(Cl)c(C(=O)N2CCN(S(=O)(=O)c3ccc(C)s3)CC2)c1,0.360655737704918,30
[1*]c1ccc(Cl)c(C(=O)N2CCN(S(=O)(=O)c3ccc(C)s3)CC2)c1,0.360655737704918,25
[1*]c1ccccc1CN(C)S(=O)(=O)c1ccc(F)c(F)c1,0.3596491228070175,21
[1*]c1ccc(S(=O)(=O)N(C)Cc2ccccc2N2CCCC2)cc1F,0.3596491228070175,25
[1*]c1ccc(S(=O)(=O)CC(=O)NCCN2CCN(c3nc4ccccc4s3)CC2)cc1,0.359375,31
[1*]S(=O)(=O)CC(=O)NCCN1CCN(c2nc3ccccc3s2)CC1,0.359375,25
[1*]CC(=O)NCCN1CCN(c2nc3ccccc3s2)CC1,0.359375,22
[1*]Oc1ccc(S(=O)(=O)N2CCN(CC)CC2)cc1,0.358974358974359,19
[1*]CN1CCN(S(=O)(=O)c2ccc(Oc3ccccc3OC)cc2)CC1,0.358974358974359,26
[1*]CCn1ccc2cc(NC(=O)c3cc(S(=O)(=O)N(C)C)ccc3N3CCCCC3)ccc21,0.3587786259541984,33
[1*]Cn1ccc2cc(NC(=O)c3cc(S(=O)(=O)N(C)C)ccc3N3CCCCC3)ccc21,0.3587786259541984,32
[1*]c1ccc(S(=O)(=O)N2CCN(Cc3ccccc3)CC2)s1,0.3577981651376147,22
[1*]c1ccc(S(=O)(=O)N(C)C)cc1NC(=O)Cc1ccccc1,0.3577981651376147,23
[1*]S(=O)(=O)c1ccc(C)c(NC(=O)Cc2ccccc2)c1,0.3577981651376147,21
[1*]c1ccc(C)c(NC(=O)Cc2ccccc2)c1,0.3577981651376147,18
[1*]CN1CCN(S(=O)(=O)c2ccc(C)s2)CC1,0.3577981651376147,17
[1*]S(=O)(=O)CCN1CCN(c2ccccc2)CC1,0.3571428571428571,18
[1*]c1cc(CN2CCN(S(=O)(=O)c3ccccc3)CC2)ccc1OC,0.3565217391304348,25
[1*]c1ccc(Cl)c(C(=O)NC2(C)Cc3ccccc3C2)c1,0.3565217391304348,21
[1*]N1CCN(Cc2ccc(OC)c(Br)c2)CC1,0.3565217391304348,17
[1*]N(C)S(=O)(=O)c1cccc(NC(=O)CN2CC[C@@H](C)c3ccccc32)c1,0.3559322033898305,27
[1*]S(=O)(=O)c1cccc(NC(=O)CN2CC[C@@H](C)c3ccccc32)c1,0.3559322033898305,25
[1*]NC(=O)CN1CC[C@@H](C)c2ccccc21,0.3559322033898305,16
[1*]CN1CCN(S(=O)(=O)c2ccc3ccccc3c2)CC1,0.3559322033898305,21
[1*]S(=O)(=O)N1CCN(Cn2ncsc2=S)CC1,0.3559322033898305,17
[1*]c1ccc(S(=O)(=O)NCCN2CCN(c3ccc(F)cc3)CC2)cc1C,0.3553719008264462,27
[1*]N(CC(=O)N1CCN(C)CC1)S(=O)(=O)c1ccc(C)cc1,0.3553719008264462,22
[1*]N1CCN(CCNS(=O)(=O)c2ccc(OC)c(C)c2)CC1,0.3553719008264462,22
[1*]c1cc(S(=O)(=O)N(C)C)ccc1N1CCCC1,0.35502290076335874,18
[1*]c1ccc(N2CCN(CN3C(=O)/C(=N\N(C)C)c4ccccc43)CC2)cc1,0.3548387096774194,28
[1*]c1ccc2c(c1)N(CC(=O)NCc1ccc(N(C)C)cc1)CCS2,0.3548387096774194,25
