frag,score,size
[1*]C(=O)N1CCc2c(nc[nH]c2=O)C1,0.3697478991596639,14
[1*][C@]1(C)CCc2c(C)c(O)c(C)c(C)c2O1,0.3697478991596639,16
[1*]c1c(C)c(C)c2c(c1C)CC[C@@](C)(C(=O)N1CCc3c(nc[nH]c3=O)C1)O2,0.3697478991596639,28
[1*]c1c(C)c2c(c(C)c1O)CC[C@@](C)(C(=O)N1CCc3c(nc[nH]c3=O)C1)O2,0.3697478991596639,28
[1*]C[C@@H]1SC(=O)NC1=O,0.3350631760221357,9
[1*][C@@H]1C(=O)NC(=O)C[C@@]1(C)Cc1ccc(OC)cc1,0.330188679245283,19
[1*][C@@]1(Cc2ccc(OC)cc2)CC(=O)NC(=O)[C@H]1CC,0.330188679245283,20
[1*]c1ccc(C[C@]2(C)CC(=O)NC(=O)[C@H]2CC)cc1,0.330188679245283,19
[1*]/C=N/N=C1/NC(=O)[C@H](Cc2ccc(OCC)cc2)S1,0.325,20
[1*][C@@H]1S/C(=N\N=C\c2ccccc2)NC1=O,0.325,16
[1*]c1ccc(C[C@@H]2S/C(=N\N=C\c3ccccc3)NC2=O)cc1,0.325,23
[1*]Oc1ccccc1/C=N/N=C1\NC(=O)[C@H](Cc2ccc(OC)cc2)S1,0.3225806451612903,26
[1*]COc1ccccc1/C=N/N=C1\NC(=O)[C@H](Cc2ccc(OC)cc2)S1,0.3225806451612903,27
[1*][C@@H]1S/C(=N/N=C/c2ccccc2OCC)NC1=O,0.3225806451612903,19
[1*]C1(C)CCc2c(cc(OCC(=O)NCc3ccc4c(c3)OCO4)c3c(C)c(C)c(=O)oc23)O1,0.3093525179856115,34
[1*]/N=C1\NC(=O)[C@@H](Cc2ccc(OC)cc2)S1,0.3070866141732283,17
[1*]Oc1ccc(C[C@H]2S/C(=N/N=C/c3ccc(OC(C)C)cc3)NC2=O)cc1,0.3070866141732283,28
[1*]C[C@H]1S/C(=N/N=C/c2ccc(OC(C)C)cc2)NC1=O,0.3070866141732283,21
[1*][C@@H](O)Cn1c(C)nc2sc3c(c2c1=O)CCC3,0.304,18
[1*]OC[C@H](O)CN1C(=O)N[C@@]2(C[C@H](C)CC(C)(C)C2)C1=O,0.304,21
[1*][C@@H]1CC(C)(C)C[C@@]2(C1)NC(=O)N(C[C@@H](O)COc1ccc(CC)cc1)C2=O,0.304,28
[1*]C[C@@H](O)COc1ccc(CC)cc1,0.304,14
[1*]Cc1ccc(OC[C@@H](O)Cn2c(C)nc3sc4c(c3c2=O)CCC4)cc1,0.304,27
[1*]OC[C@@H](O)Cn1c(C)nc2sc3c(c2c1=O)CCC3,0.304,20
[1*]c1n[nH]c2c1[C@@H](c1ccc(OCC)cc1)C1=C(CC(C)(C)CC1=O)N2,0.3032786885245901,26
[1*]Oc1ccc([C@H]2C3=C(CC(C)(C)CC3=O)Nc3[nH]nc(O)c32)cc1,0.3032786885245901,25
[1*]COc1ccc([C@H]2C3=C(CC(C)(C)CC3=O)Nc3[nH]nc(O)c32)cc1,0.3032786885245901,26
[1*]CCCNC(=O)c1oc2c(c1C)C(=O)CC(C)(C)C2,0.3015873015873015,20
[1*]C1(C)CC(=O)c2c(oc(C(=O)NCCCCOc3ccc(C)cc3)c2C)C1,0.3015873015873015,28
[1*]NCCCCOc1ccc(C)cc1,0.3015873015873015,14
[1*]c1ccc(/C(C)=N/N=C2\NC(=O)[C@H](Cc3cccc(C)c3)S2)cc1,0.3008130081300813,25
[1*]/C(C)=N/N=C1\NC(=O)[C@H](Cc2cccc(C)c2)S1,0.3008130081300813,19
[1*][C@@H]1S/C(=N/N=C(\C)c2ccc(OC)cc2)NC1=O,0.3008130081300813,19
[1*]Oc1ccc(CN2C(=O)CC[C@@]2(C)C(=O)N[C@@H](C)CC)cc1,0.2991452991452991,23
[1*]CN1C(=O)CC[C@@]1(C)C(=O)N[C@@H](C)CC,0.2991452991452991,16
[1*]c1ccc(CNC(=O)Cc2c(C)c3ccc(O)c(O)c3oc2=O)cc1,0.2983870967741935,26
[1*]CNC(=O)Cc1c(C)c2ccc(O)c(O)c2oc1=O,0.2983870967741935,20
[1*]Oc1ccc([C@H]2C3=C(CC(C)(C)CC3=O)Nc3[nH]c(C)nc(=O)c32)cc1,0.2983870967741935,27
[1*]C1(C)CC(=O)C2=C(C1)Nc1[nH]c(C)nc(=O)c1[C@H]2c1ccc(OC)cc1,0.2983870967741935,27
[1*]Oc1ccc(C[C@H]2C(=O)Nc3ccccc32)cc1,0.2972972972972973,19
[1*]c1ccc(C[C@H]2SC(N)=NC2=O)cc1,0.297029702970297,15
[1*][C@H]1CC(=O)NC2=C1C(=O)C[C@@H](c1ccc(OCC)cc1)C2,0.2941176470588235,22
[1*]COc1ccc([C@@H]2CC(=O)C3=C(C2)NC(=O)C[C@@H]3c2cc(Cl)c(O)c(OCC)c2)cc1,0.2941176470588235,32
[1*]c1ccc([C@@H]2CC(=O)C3=C(C2)NC(=O)C[C@@H]3c2cc(Cl)c(O)c(OCC)c2)cc1,0.2941176470588235,30
[1*]COc1ccc(CN2CCOC(C)(C)C2)cc1,0.2941176470588235,18
[1*]c1noc(C)c1COc1ccc(CN2CCOC(C)(C)C2)cc1,0.2941176470588235,24
[1*]C[NH+](C)C[C@H]1CCC(C)(C)C1=O,0.2935779816513761,13
[1*]C1(C)CC[C@H](C[NH+](C)Cc2ccc(OC)cc2)C1=O,0.2935779816513761,20
[1*]/N=C1\NC(=O)[C@H](Cc2ccc(C)cc2)S1,0.293103448275862,16
[1*][C@@H]1S/C(=N/N=C/c2ccco2)NC1=O,0.293103448275862,15
[1*]/C=N/N=C1\NC(=O)[C@H](Cc2ccc(C)cc2)S1,0.293103448275862,18
[1*]c1nc(OCC(=O)NCc2ccc(OC)cc2)c2c(C)c(C)oc2n1,0.2926829268292683,26
[1*]c1nc(C)nc2oc(C)c(C)c12,0.2926829268292683,13
[1*]COc1nc(C)nc2oc(C)c(C)c12,0.2926829268292683,15
[1*]c1ccc([C@H]2CC(=O)Nc3c2c(=O)nc(SCc2ccc(C)cc2)n3C)cc1,0.291970802919708,29
[1*]c1ccc(CSc2nc(=O)c3c(n2C)NC(=O)C[C@@H]3c2ccc(OCCC)cc2)cc1,0.291970802919708,32
[1*]Sc1nc(=O)c2c(n1C)NC(=O)C[C@@H]2c1ccc(OCCC)cc1,0.291970802919708,25
[1*]/C=N/N=C1\NC(=O)[C@@H](Cc2ccc(C(C)C)cc2)S1,0.2903225806451613,20
[1*]c1csc(CN2C(=O)N[C@](C)(CCc3ccc(OC)cc3)C2=O)n1,0.2892561983471074,25
[1*]N1C(=O)N[C@](C)(CCc2ccc(OC)cc2)C1=O,0.2892561983471074,19
[1*][C@]1(CCc2ccc(OC)cc2)NC(=O)N(Cc2nc(C)cs2)C1=O,0.2892561983471074,25
[1*][C@@]1(Cc2ccc(OC)cc2)NC(=O)N(CC(C)C)C1=O,0.2882882882882883,21
[1*]c1ccc(C[C@]2(C)NC(=O)N(CC(C)C)C2=O)cc1,0.2882882882882883,20
[1*]C(C)CN1C(=O)N[C@@](C)(Cc2ccc(OC)cc2)C1=O,0.2882882882882883,21
[1*][C@H]1CN(c2ccc(OCCC)cc2)C(=O)NC1=O,0.287037037037037,19
[1*]Oc1ccc(N2C[C@H](C)C(=O)NC2=O)cc1,0.287037037037037,17
[1*]Oc1ccc(CC[C@]2(C)NC(=O)N(CC(=O)Nc3c(C)n[nH]c3C)C2=O)cc1,0.2868217054263566,29
[1*]c1[nH]nc(C)c1NC(=O)CN1C(=O)N[C@@](C)(CCc2ccc(OC)cc2)C1=O,0.2868217054263566,29
[1*]c1ccc(CC(=O)Nc2sc3c(c2C(=O)OC)CC[C@H](C)C3)cc1,0.2857142857142857,25
[1*]CCOc1ccc(CN2C(=O)N[C@@H](C(C)C)C2=O)cc1,0.2857142857142857,21
[1*]Oc1ccc(CC(=O)Nc2sc3c(c2C(=O)OC)CC[C@H](C)C3)cc1,0.2857142857142857,26
[1*]CN1C(=O)/C(=C2/C(=O)Nc3ccc(C)cc32)SC1=S,0.2857142857142857,20
[1*]N1C(=O)/C(=C2/C(=O)Nc3ccc(C)cc32)SC1=S,0.2857142857142857,19
[1*]Oc1ccc(CN2C(=O)/C(=C3/C(=O)Nc4ccc(C)cc43)SC2=S)cc1,0.2857142857142857,27
[1*]Oc1ccc(NC(=O)Cc2c(C)c3ccc(O)c(C)c3oc2=O)cc1,0.2845528455284553,26
[1*]C(=O)Cc1c(C)c2ccc(O)c(C)c2oc1=O,0.2845528455284553,18
[1*]c1c(O)ccc2c(C)c(CC(=O)Nc3ccc(OC)cc3)c(=O)oc12,0.2845528455284553,26
[1*]N(C(=O)CN1C(=O)N[C@@](C)(Cc2ccc(OC)cc2)C1=O)C1CC1,0.2833333333333333,25
[1*][C@@]1(Cc2ccc(OC)cc2)NC(=O)N(CC(=O)N(C)C2CC2)C1=O,0.2833333333333333,25
[1*]c1cc(NC(=O)Cc2ccc(OCc3c(C)noc3C)cc2)ccc1N1CCCC1=O,0.2826086956521739,32
[1*]CN1C(=O)c2oc3cc(C)cc(C)c3c(=O)c2[C@H]1c1ccc(OCC)cc1,0.2826086956521739,28
[1*]c1ccc(NC(=O)Cc2ccc(OCc3c(C)noc3C)cc2)cc1Cl,0.2826086956521739,27
[1*]Oc1ccc(CC(=O)Nc2ccc(N3CCCC3=O)c(Cl)c2)cc1,0.2826086956521739,25
[1*]COc1ccc([C@@H]2c3c(oc4cc(C)cc(C)c4c3=O)C(=O)N2C[C@H]2CCCO2)cc1,0.2826086956521739,32
[1*]c1oc2c(c1C)C(=O)/C(=C/c1ccc(OCc3noc(C)n3)cc1)CC2,0.2824427480916031,27
[1*]C(=O)c1oc2c(c1C)C(=O)/C(=C/c1ccc(OCc3noc(C)n3)cc1)CC2,0.2824427480916031,29
[1*]c1nc(COc2ccc(/C=C3\CCc4oc(C(=O)[O-])c(C)c4C3=O)cc2)no1,0.2824427480916031,29
[1*]c1ccc(CC(=O)NN2C(=O)NC3(CCC(C)CC3)C2=O)cc1,0.282258064516129,24
[1*]C[C@@H]1CC(=O)N(Cc2nc(C)c(C)s2)C1=O,0.282051282051282,17
[1*]c1sc(CN2C(=O)C[C@@H](Cc3ccc(F)cc3)C2=O)nc1C,0.282051282051282,23
[1*][C@@H]1C[C@@H](C(C)(C)C)CCC1=O,0.2818181818181818,12
[1*][C@H]1CCC(=O)[C@H](Cc2ccc(OC)cc2)C1,0.2818181818181818,17
[1*]C(C)(C)[C@H]1CCC(=O)[C@H](Cc2ccc(OC)cc2)C1,0.2818181818181818,20
[1*]c1c(OC)cc([C@@H]2CC(=O)NC3=C2C(=O)C[C@@H](c2ccc(CC)cc2)C3)cc1OC,0.2814814814814815,31
[1*]Cc1ccc([C@@H]2CC(=O)C3=C(C2)NC(=O)C[C@H]3c2cc(OC)c(O)c(OC)c2)cc1,0.2814814814814815,31
[1*]c1cc([C@@H]2CC(=O)NC3=C2C(=O)C[C@@H](c2ccc(CC)cc2)C3)cc(OC)c1O,0.2814814814814815,30
[1*]Oc1ccc(C[NH2+]Cc2ccc(C)s2)cc1,0.2809917355371901,17
[1*]c1ccc(C[NH2+]Cc2ccc(C)s2)cc1,0.2809917355371901,16
[1*]c1ccc(CC(=O)Nc2nc3ccc(C)cc3s2)cc1,0.2803030303030303,21
[1*]c1noc(C)c1COc1ccc(CC(=O)Nc2nc3ccc(C)cc3s2)cc1,0.2803030303030303,29
[1*]c1ccc(CC(=O)Nc2cc(C(C)(C)C)ccc2O)cc1,0.2803030303030303,22
[1*]NC(=O)Cc1ccc(OCc2c(C)noc2C)cc1,0.2803030303030303,20
[1*]Oc1ccc(CC(=O)Nc2cc(C(C)(C)C)ccc2O)cc1,0.2803030303030303,23
[1*]S(=O)(=O)N(Cc1ccc(C(N)=O)cc1)C1CC1,0.28,18
[1*]c1c(C)c(C)c(S(=O)(=O)N(Cc2ccc(C(N)=O)cc2)C2CC2)c(C)c1C,0.28,28
[1*]c1c(C)c(C)c(C)c(C)c1S(=O)(=O)N(Cc1ccc(C(N)=O)cc1)C1CC1,0.28,28
[1*][C@@H](COc1c(C)ccc(C)c1C)CN1C(=O)N[C@](C)(c2ccco2)C1=O,0.28,27
[1*]c1ccc(C)c(C)c1OC[C@H](O)CN1C(=O)N[C@](C)(c2ccco2)C1=O,0.28,27
[1*]c1c(C)ccc(C)c1OC[C@H](O)CN1C(=O)N[C@](C)(c2ccco2)C1=O,0.28,27
[1*][N+](=O)c1c(C)cc(C)c(C(=O)NCc2ccc(OC)cc2)c1C,0.2796610169491525,24
[1*]c1c(C[C@H]2C(=O)Nc3ccc(C)cc32)oc2c(C)cccc12,0.2796610169491525,23
[1*]c1cccc2c(C)c(C[C@H]3C(=O)Nc4ccc(C)cc43)oc12,0.2796610169491525,23
[1*]c1cc(C)c([N+](=O)[O-])c(C)c1C(=O)NCc1ccc(OC)cc1,0.2796610169491525,24
[1*]c1ccc(CNC(=O)c2c(C)cc(C)c([N+](=O)[O-])c2C)cc1,0.2796610169491525,23
[1*]COc1ccc([C@H]2C3=C(CC(C)(C)CC3=O)Nc3nc(SCC)nn32)cc1,0.2790697674418604,28
[1*]Sc1nc2n(n1)[C@@H](c1ccc(OCC)cc1)C1=C(CC(C)(C)CC1=O)N2,0.2790697674418604,27
