frag,score,size
[1*][C@H](NC(C)=O)C(=O)NCc1ccccc1-c1ccc(CN2CCCC2=O)cc1,0.3201308357906798,29
[1*]N[C@@H](C)C(=O)NCc1ccccc1-c1ccc(CN2CCCC2=O)cc1,0.3201308357906798,27
[1*]C(C)=O,0.00013439581687266154,4
[1*]C,2.862579365304372e-06,2
[1*][C@@]1(C)NC(=O)N(Cc2ccc(-c3ccccc3)cc2)C1=O,1.767031256555663e-06,22
[1*]c1ccc(CN(C)C(=O)c2cnn3cccnc23)cc1,3.532952198784043e-07,21
[1*]N1C(=O)N[C@](C)(C2CC2)C1=O,2.9450520942594385e-07,12
[1*]C(=O)N(C)Cc1ccc(-c2ccccc2)cc1,1.7664761081440087e-07,18
[1*]Cc1ccc(-c2ccccc2)cc1,1.0394301509150958e-07,14
[1*]c1cnn2cccnc12,2.9441268323200358e-08,10
[1*]c1[nH]ncc1C(=O)N(C)[C@@H](C)c1ccc(-c2ccccc2)cc1,2.369404006443682e-09,24
[1*]N(C(=O)c1cn[nH]c1C)[C@@H](C)c1ccc(-c2ccccc2)cc1,2.369404006443682e-09,24
[1*]C1CC1,4.692063878267825e-10,4
[1*]CCN1C(=O)C(=O)N(Cc2ccc(-c3ccccc3C#N)cc2)C1=O,6.41285897722978e-11,26
[1*]c1ccccc1,2.8737206757638222e-11,7
[1*]CN1C(=O)C(=O)N(CCC2=CCCCC2)C1=O,2.137619659076593e-11,18
[1*]c1ccc(-c2ccccc2C#N)cc1,7.125398863588644e-12,15
[1*]C1=CCCCC1,8.11754300915162e-13,7
[1*]CN(C)C(=O)N[C@H](CC)c1ccncc1,1.7503974284479056e-15,16
[1*]N[C@H](CC)c1ccncc1,2.187996785559882e-16,11
[1*]c1ccc(-c2ccccc2)cc1,1.6513183287244393e-17,13
[1*]NCc1ccccc1-c1ccc(CN2CCCC2=O)cc1,6.781875529865128e-26,22
[1*]C(=O)NCc1ccccc1-c1ccc(CN2CCCC2=O)cc1,6.781875529865128e-26,24
[1*]c1ccc(-c2ccccc2CNC(=O)c2cc3ccccc3oc2=O)cc1,6.781875529865128e-26,28
[1*]C(=O)c1cc2ccccc2oc1=O,1.442952240396836e-27,14
[1*]c1cc2ccccc2oc1=O,1.1494704287906997e-27,12
[1*]CN1CCCC1=O,6.338201429780494e-28,8
[1*]C(=O)C1CCN(c2nc(Cl)ncc2Br)CC1,0.0,17
[1*]C1CCN(c2nc(Cl)ncc2Br)CC1,0.0,15
[1*][C@H](c1ccc2c(c1)OCO2)N1CCOCC1,0.0,17
[1*]C(=O)C(=O)NC[C@H](c1ccc2c(c1)OCO2)N1CCOCC1,0.0,23
[1*][C@H](NC(=O)c1cn(-c2ccc(F)cc2)nn1)c1ccccc1F,0.0,24
[1*]NC[C@H](c1ccc2c(c1)OCO2)N1CCOCC1,0.0,19
[1*][C@H]1CN(S(=O)(=O)N2CCN(C(=O)COc3ccc(C)cc3)CC2)C[C@@H](C)O1,0.0,28
[1*]NC(=O)C1CCN(c2nc(Cl)ncc2Br)CC1,0.0,18
[1*]S(=O)(=O)c1nc2ccccc2nc1Cl,0.0,15
[1*]S(=O)(=O)c1ccc(CC(=O)N2CCC[NH+](Cc3ccc(Cl)cc3)CC2)s1,0.0,27
[1*]c1cn(-c2ccc(F)cc2)nn1,0.0,13
[1*]c1ccc(OCC(=O)N2CCN(S(=O)(=O)N3C[C@@H](C)O[C@@H](C)C3)CC2)cc1,0.0,28
[1*]c1cccc(/C=C/C(=O)Nc2cccc3cccnc23)c1,0.0,22
[1*]Cc1ccc(S(=O)(=O)N2CCCCC2)s1,0.0,16
[1*][NH+]1CCCN(C(=O)Cc2ccc(S(=O)(=O)N3CCCCC3)s2)CC1,0.0,25
[1*]c1nc(CSc2nc3ccccc3o2)no1,0.0,17
[1*]n1ncc(-c2n[nH]cc2I)c1C,0.0,13
[1*]c1c(-c2n[nH]cc2I)cnn1C,0.0,13
[1*]c1c[nH]nc1-c1cnn(C)c1C,0.0,13
[1*]NC(=O)[C@H]1CC(=O)N(c2ccccc2Br)C1,0.0,17
[1*]c1ccccc1N1C[C@@H](C(=O)N[C@@H]2CCCc3c2cnn3C)CC1=O,0.0,26
[1*]OC(=O)/C=C/c1ccc(-c2cc(Cl)c(C)cc2[N+](=O)[O-])o1,0.0,22
[1*]/C=C/C(=O)Nc1cccc2cccnc12,0.0,16
[1*]Oc1ccc([C@@H]([NH2+]C[C@@H]2CSCCS2)C(C)C)cc1,0.0,20
[1*]C[C@@H]1CSCCS1,0.0,8
[1*]c1c(N2CCOCC2)nn2c1NC(C)=C(C(=O)Nc1ccc(Cl)cc1)[C@H]2c1ccccc1,0.0,33
