frag,score,size
[1*]N(CC)C(=O)c1cc(-c2ccc(C)cc2)no1,0.5672245255634084,18
[1*]c1ccc(-c2cc(C(=O)N(CC)c3cccnc3)on2)cc1,0.5672245255634084,23
[1*]COc1ccc(C(=O)N(CC)c2ccc(C#N)c(Cl)c2)cc1,0.5452704546250439,23
[1*]c1cc(N(CC)C(=O)c2ccc(OCC)cc2)ccc1C#N,0.5452704546250439,23
[1*]N(C(=O)c1ccc(OCC)cc1)c1ccc(C#N)c(Cl)c1,0.5452704546250439,22
[1*]C1(C)C(=O)N(CC(=O)Nc2cccc(C#N)c2)c2ccccc21,0.5306160552209596,24
[1*]c1ccccc1NC(=O)[C@@H]1CC(=O)N(c2cccc(C)c2)C1,0.5280588545286915,23
[1*]N1C[C@H](C(=O)Nc2ccccc2C#N)CC1=O,0.5280588545286915,18
[1*]Oc1cc(-c2ccnc3c(-c4ccc(Br)cc4)cnn23)ccc1OC,0.5257465742539692,26
[1*]c1ccc(-c2cnn3c(-c4ccc(OC)c(OC)c4)ccnc23)cc1,0.5257465742539692,26
[1*]N(C(=O)c1cc(C)n(-c2ccccc2)n1)c1cccc(F)c1,0.5236772797356222,23
[1*]c1cccc(N(CC)C(=O)c2cc(C)n(-c3ccccc3)n2)c1,0.5236772797356222,24
[1*]n1c(=O)c(C(=O)N(C)C)cc2cccnc21,0.5145377253179583,17
[1*]Cn1c(=O)c(C(=O)N(C)C)cc2cccnc21,0.5145377253179583,18
[1*]c1cc2cccnc2n(Cc2ccccc2)c1=O,0.5145377253179583,19
[1*]c1cccc(OCc2nc(-c3ccc(C(C)C)cc3)no2)c1,0.5139561687500467,23
[1*]OCc1nc(-c2ccc(C(C)C)cc2)no1,0.5139561687500467,17
[1*]c1cccc(C(=O)N(C)c2nccs2)c1,0.5108921546316982,16
[1*]OCc1cccc(C(=O)N(C)c2nccs2)c1,0.5108921546316982,18
[1*]N(C)C(=O)c1cc(C(C)=O)cn1C,0.5058894165225565,14
[1*]n1cc(C(C)=O)cc1C(=O)N(C)c1cccc2ncccc12,0.5058894165225565,23
[1*]C(=O)[C@H](C)Sc1nc2ccccc2c(=O)n1-c1cc(C)ccn1,0.5047376048386725,24
[1*]c1cc2cccc(C)c2nc1Nc1ccc(OC)cc1OC,0.5046949386828399,23
[1*]c1nccn1Cc1ccccc1OC,0.5037921530295746,15
[1*]Oc1ccccc1Cn1ccnc1-c1cccc(C(C)=O)c1,0.5037921530295746,23
[1*]c1ccccc1Cn1ccnc1-c1cccc(C(C)=O)c1,0.5037921530295746,22
[1*]N(CC)C(=O)Cn1cnc2ccc(Br)cc2c1=O,0.5029863195224432,19
[1*]c1ccc2ncn(CC(=O)N(CC)c3ccccc3)c(=O)c2c1,0.5029863195224432,24
[1*]NC(=S)Nc1cccc(-c2nc3cc(CC)ccc3o2)c1,0.5023051202958335,22
[1*]Cn1c(=O)c(C(=O)NCc2ccccc2)cc2cccnc21,0.5009051627877127,23
[1*]C(=O)c1cc2cccnc2n(CC)c1=O,0.5009051627877127,16
[1*]c1cccc(NC(=O)[C@@H]2CC=CCC2)c1,0.5,16
[1*]c1ccc(Oc2cccc(NC(=O)[C@@H]3CC=CCC3)c2)nc1,0.5,23
[1*]c1ccc(CC(=O)N2CCc3nocc3C2)cc1,0.497701137248398,19
[1*]C(=O)N1CCc2nocc2C1,0.497701137248398,12
[1*]CNC(=O)c1cc(-c2cccnc2)n2c1CSC2,0.4975438268648778,19
[1*]NC(=O)c1cc(-c2cccnc2)n2c1CSC2,0.4975438268648778,18
[1*]c1cc(N(CC)C(=O)[C@H](C)c2cccc(F)c2)ccc1C#N,0.496599805815413,23
[1*]/C=C(\C#N)C(=O)Nc1cccc(C)c1,0.4952605565436486,15
[1*]/C(C#N)=C/c1ccc(NC(C)=O)cc1,0.4952605565436486,15
[1*]c1cn(CC(=O)Nc2cccc(C)c2C)c2ccc(Br)cc12,0.4950647800549923,23
[1*]C(=O)Cn1cc(C#N)c2cc(Br)ccc21,0.4950647800549923,16
[1*]NC(=O)Cn1cc(C#N)c2cc(Br)ccc21,0.4950647800549923,17
[1*]n1cc(C(=O)Nc2ccc(C(C)=O)cc2)c(-c2ccccc2)n1,0.4929408222146016,24
[1*]c1cc(-c2ccccc2)nc(SCC(=O)N(C)c2ccccc2)n1,0.492915411598316,25
[1*]CN(CC)C(=O)c1ccccc1Br,0.4916507988924606,14
[1*]N(CC)Cc1nc(-c2cccc(C)c2)no1,0.4916507988924606,17
[1*][C@H](C)NC(=O)Cn1ncc(=O)c2ccccc21,0.4916507988924606,18
[1*]CN(Cc1nc(-c2cccc(C)c2)no1)C(=O)c1ccccc1Br,0.4916507988924606,25
[1*]c1ccc(CC(=O)N(C)c2cccc3ncccc23)cc1F,0.4912127626018308,23
[1*]C(=O)CSCC(=O)Nc1ccccc1C#N,0.4912127626018308,17
[1*]c1cccc(NC(=O)CSCC(=O)Nc2ccccc2C#N)c1,0.4912127626018308,24
[1*]C(=O)c1cc(CN2CCN(c3ccccc3C#N)C(=O)C2)cs1,0.4912127626018308,24
[1*]N(C(=O)Cc1ccc(OC)c(F)c1)c1cccc2ncccc12,0.4912127626018308,24
[1*]N1CCN(Cc2csc(C(C)=O)c2)CC1=O,0.4912127626018308,17
[1*]Oc1ccc(C(=O)N(C)c2ccccc2-c2ccccc2)nn1,0.4906533814626582,24
[1*]c1cnc(-c2ccccc2)nc1C,0.4897979895890969,14
